,gcn,ggnn,gat,gaan
0,9.91049,13.412955,39.651779,214.61154
1,11.124747,13.590476,39.660161,217.48347
2,11.166152,13.890672,39.788661,218.455282
3,11.19415,14.106396,39.817459,218.682177
4,11.220003,15.203193,39.82885,219.14479
5,11.259775,15.334797,39.87211,219.431004
6,11.275519,15.74772,39.894604,219.536114
7,11.299708,15.852349,39.914186,219.632746
8,11.446607,16.099751,39.970214,219.6937
9,11.483659,16.28751,39.985604,219.728319
10,11.496234,16.344465,40.00621,219.781532
11,11.528935,17.196067,40.057661,219.834519
12,11.556645,17.241855,40.187538,219.84223
13,11.793519,17.730355,40.744063,219.861939
14,11.840043,18.014489,41.122877,219.91675
15,12.076533,18.144525,41.392324,220.031618
16,12.145903,18.314045,41.474525,220.039205
17,12.284322,18.325885,41.87468,220.29934
18,12.302849,18.456784,41.89743,220.39338
19,12.345597,18.524138,42.023178,220.401252
20,12.539275,18.659167,42.217112,220.407555
21,12.55873,18.665438,42.92092,220.419746
22,12.655808,18.949668,43.096936,220.450111
23,12.65728,18.963395,43.1912,220.523608
24,12.662304,18.964771,43.206174,220.567988
25,12.68099,19.100598,43.344466,220.721222
26,12.689438,19.183086,43.745742,220.8989
27,12.815634,19.208172,43.8074,220.917044
28,13.03187,19.480884,43.955834,220.934035
29,13.050173,19.483571,44.014709,220.982479
30,13.051293,19.513809,44.028915,221.234295
31,13.055708,19.562924,44.143433,221.501757
32,13.18808,19.646852,44.689656,221.586135
33,13.484341,19.967752,44.767504,221.640531
34,13.522961,20.331814,44.892516,221.720137
35,13.978632,20.836888,44.971389,221.765575
36,14.080063,20.868949,45.022073,222.010704
37,14.168983,21.160154,45.115728,222.048717
38,14.23512,21.356137,45.628385,222.052844
39,14.366629,21.511642,45.734967,222.062188
40,14.408097,21.719208,45.904777,222.105896
41,14.489241,21.808351,46.014494,222.165793
42,14.493754,22.077799,46.711999,222.241244
43,14.495417,22.437478,48.693675,222.418891
44,14.518999,24.277023,49.567802,222.738703
45,14.550229,24.382453,52.744281,222.907292
46,15.722281,24.894151,54.378788,224.163628
47,18.805201,25.142704,54.676425,228.24396
48,21.259217,26.611914,55.847263,232.301476
49,21.50438,33.536148,57.604766,257.129137
