,gcn,ggnn,gat
0,50.083691,60.472696,118.101264
1,50.10833,60.525971,118.269121
2,50.178019,60.549328,118.28272
3,50.322294,60.700771,118.483917
4,50.422253,60.781147,118.510603
5,50.478792,60.804954,118.539464
6,50.568544,60.810425,118.555814
7,50.577886,60.834583,118.573861
8,50.579359,60.909519,118.646942
9,50.611804,60.916208,118.656702
10,50.638681,60.936429,118.663357
11,50.644089,60.981002,118.702714
12,50.655096,61.037477,118.70716
13,50.692468,61.05549,118.846412
14,50.705107,61.05789,118.950179
15,50.713939,61.114333,118.960706
16,50.719922,61.115037,118.996255
17,50.741071,61.115357,119.008446
18,50.788779,61.133052,119.104853
19,50.794827,61.166328,119.10786
20,50.937118,61.260591,119.128819
21,51.06437,61.329098,119.193741
22,51.081457,61.336777,119.21953
23,51.081649,61.356679,119.281028
24,51.104399,61.373317,119.305379
25,51.126957,61.4296,119.318433
26,51.177448,61.463614,119.330208
27,51.244322,61.54047,119.361821
28,51.306812,61.555541,119.373884
29,51.313916,61.607537,119.379484
30,51.318779,61.715335,119.383131
31,51.332985,61.721157,119.466356
32,51.342009,61.805567,119.506416
33,51.342616,61.849658,119.512304
34,51.352952,61.873528,119.517199
35,51.362263,61.889462,119.52283
36,51.379125,61.944881,119.55342
37,51.444176,62.014603,119.592424
38,51.453679,62.03057,119.67984
39,51.473549,62.048296,119.779031
40,51.508938,62.064198,119.839665
41,51.510026,62.106979,119.885229
42,51.534599,62.189499,119.930217
43,51.606401,62.346925,120.2874
44,51.609089,63.012656,120.515635
45,51.619423,66.245258,121.583731
46,51.788816,68.646671,127.348293
47,51.81675,68.829246,128.019752
48,55.99992,81.003528,134.566036
49,59.449526,88.930774,150.283073
