,gcn,ggnn,gat,gaan
0,54.273513,127.01187,198.084306,522.389044
1,54.373024,127.195181,198.184872,522.934146
2,54.448761,127.321122,198.226501,524.50514
3,54.523635,127.457397,198.363353,524.584716
4,54.545745,127.466389,198.558023,524.757469
5,54.602187,127.594633,198.580357,524.885265
6,54.611562,127.675201,198.761141,525.240304
7,54.673284,127.810645,198.836654,525.295564
8,54.689412,127.82466,198.914439,525.421216
9,54.70429,127.825044,198.919462,525.441662
10,54.741374,127.900941,198.93034,525.496185
11,54.751773,127.95668,198.95066,525.564339
12,54.771132,128.006563,198.95517,525.599184
13,54.88421,128.04464,198.966658,525.815954
14,54.907215,128.058047,199.045947,525.889685
15,54.943724,128.062366,199.070905,525.891414
16,54.955563,128.067166,199.080247,525.904916
17,54.974793,128.081309,199.163696,525.96045
18,54.979913,128.107802,199.20894,526.015498
19,55.014694,128.127256,199.235529,526.06246
20,55.025221,128.148183,199.248936,526.075172
21,55.035588,128.205297,199.286724,526.168978
22,55.036195,128.217936,199.341056,526.21196
23,55.083008,128.244205,199.459157,526.265801
24,55.091166,128.32615,199.463701,526.313604
25,55.099742,128.431036,199.472628,526.361856
26,55.103549,128.431421,199.504016,526.367104
27,55.120892,128.451866,199.575594,526.373929
28,55.144122,128.507894,199.591338,526.414597
29,55.154969,128.508437,199.622854,526.435926
30,55.156184,128.524372,199.689728,526.452472
31,55.22373,128.682534,199.693375,526.456277
32,55.23045,128.696036,199.728509,526.64343
33,55.242737,128.701859,199.780855,526.715178
34,55.268623,128.790748,199.809045,526.76358
35,55.27323,128.807451,199.835411,526.836213
36,55.286125,128.816089,199.84309,526.925579
37,55.28926,128.865557,199.884687,526.926765
38,55.300972,128.955405,199.904173,527.048578
39,55.376356,129.020583,199.921611,527.054146
40,55.39821,129.024166,200.019297,527.096647
41,55.545397,129.052996,200.290666,527.182902
42,56.425669,129.123485,200.339877,527.393858
43,57.104167,129.137212,200.429501,527.434558
44,57.227676,129.200886,200.441628,527.507976
45,60.808597,129.407812,200.481048,527.989228
46,60.957671,129.460703,200.585295,530.841138
47,69.510843,129.784961,200.857878,532.124157
48,69.952179,130.620405,214.236337,549.440262
49,71.148453,158.510148,230.289756,561.038931
