,gcn,ggnn,gat,gaan
0,35.458014,55.677798,148.101268,752.280448
1,35.480956,58.401358,148.271876,752.516139
2,35.511257,58.701715,148.315648,752.83515
3,35.515448,59.246594,148.31776,752.981984
4,35.527672,59.428337,148.362044,752.988821
5,35.573683,59.551974,148.374811,753.416281
6,35.597265,59.568132,148.380538,754.881139
7,35.636941,59.658683,148.415447,756.505408
8,35.669611,59.671482,148.515757,764.519609
9,35.670186,59.729173,148.948422,765.629343
10,35.688105,59.750419,149.007009,765.835244
11,35.695625,59.756243,149.035966,766.620058
12,35.69588,59.762898,149.085722,767.083579
13,35.711303,59.812621,149.091257,767.211183
14,35.793439,59.852073,149.215854,768.280921
15,35.801791,59.875495,149.249771,768.551658
16,35.812253,59.910212,149.264778,768.648288
17,35.8295,59.959648,149.281799,768.689288
18,35.85753,59.968575,149.374623,768.8718
19,35.863833,60.003452,149.386878,769.203333
20,35.872664,60.14024,149.397949,769.283198
21,35.886262,60.15467,149.423611,769.314787
22,35.894262,60.168589,149.429147,769.329378
23,35.894358,60.195274,149.463735,769.366207
24,35.900149,60.233287,149.482805,769.463661
25,35.903061,60.255717,149.550223,769.543728
26,35.910357,60.266468,149.643591,769.639814
27,35.916756,60.26778,149.758684,769.672058
28,35.928851,60.351964,149.759133,769.727295
29,35.929587,60.370203,149.779322,769.745086
30,35.935187,60.377434,149.78409,769.789848
31,35.972911,60.392185,149.794105,769.83889
32,36.042409,60.455859,149.858739,770.034841
33,36.060583,60.513646,149.882225,770.11881
34,36.075142,60.529644,149.884944,770.217576
35,36.102243,60.549674,149.921454,770.242118
36,36.248214,60.575912,149.976392,770.352357
37,36.401096,60.628387,149.99447,770.407927
38,36.440164,60.635075,150.02138,770.554218
39,36.445444,60.652673,150.045026,770.593295
40,36.536252,60.756984,150.048098,770.690375
41,36.557177,60.820242,150.158551,770.802835
42,36.604789,60.975907,150.191733,771.614066
43,36.707692,61.327171,150.239856,771.800257
44,36.81245,61.559854,150.243696,772.207547
45,41.529876,61.611497,150.954383,775.675392
46,43.967893,61.850804,150.969517,785.699751
47,49.5103,64.40289,152.565287,789.840404
48,49.695691,85.806185,158.582774,791.603952
49,49.768324,97.616884,179.811429,806.804643
