,gcn,ggnn,gat,gaan
0,11.244992,16.153217,24.33071,87.182576
1,11.340472,17.301144,24.587551,88.245743
2,11.512808,17.520259,24.972251,88.324008
3,11.57949,17.583806,25.322651,88.576881
4,11.599648,17.85335,25.453744,88.583376
5,11.642684,17.859333,25.561446,88.730819
6,11.729492,17.979994,25.916741,88.86527
7,11.73266,18.0485,26.390459,88.994827
8,11.752082,18.068626,26.409848,89.147933
9,11.866599,18.368278,26.450165,89.495741
10,11.891878,18.457742,26.598663,89.664077
11,12.160045,18.479052,26.865326,89.705738
12,12.295169,18.877832,26.902827,89.777923
13,12.466961,19.065271,26.944328,89.877338
14,12.468401,19.103827,26.947624,89.952564
15,12.521452,19.237671,27.532241,90.02542
16,12.52382,19.331359,27.720577,90.317042
17,12.61114,19.332863,27.753918,90.75697
18,12.657216,19.374778,27.816632,90.871103
19,12.688413,19.415127,28.192534,90.908156
20,12.71993,19.537772,28.551989,90.963159
21,12.849582,19.914442,28.574226,91.019506
22,12.927815,19.923593,28.680681,91.069229
23,13.002369,19.946791,28.920595,91.41851
24,13.017599,20.04099,28.978574,91.634266
25,13.153075,20.042558,29.133728,92.484812
26,13.192431,20.257195,29.292049,92.614785
27,13.259721,20.386046,29.314863,92.876968
28,13.293222,20.461559,29.652241,93.176685
29,13.393436,20.485685,29.707435,93.439701
30,13.441304,20.50082,29.732554,96.00881
31,13.441561,20.693923,29.869629,96.49555
32,13.507762,20.732191,30.205951,96.532763
33,13.576396,20.786554,30.438889,96.650672
34,13.577772,21.349479,30.560062,96.678798
35,13.668164,21.473628,30.739789,96.844543
36,13.985862,21.492314,31.352405,96.940278
37,13.986662,21.589617,31.750482,97.138467
38,14.351686,21.679273,31.836138,97.302101
39,14.365572,21.721765,32.095186,97.621815
40,14.576017,21.769889,33.728797,97.808391
41,14.693894,21.845658,34.098588,98.098764
42,14.959982,21.946448,34.624075,98.569697
43,15.613234,22.036424,34.662536,99.586756
44,15.623858,23.130949,35.171961,99.604099
45,15.844989,23.278967,36.227577,100.257671
46,16.179679,23.962361,36.353197,100.26343
47,16.348719,25.227846,36.909307,109.603858
48,16.926171,25.97117,37.887842,122.334858
49,19.842513,27.043136,40.519826,142.916276
