,amp,pub,amc,cph,fli,cam
1,0.54051,0.40700,0.53345,0.77702,0.49321,
2,0.76947,0.86500,0.68965,0.94573,0.50760,
4,0.88343,0.87700,0.80425,0.95663,0.49025,
8,0.92159,0.88300,0.84322,0.96347,0.51557,
16,0.92420,0.88500,0.84991,0.96324,0.51427,
32,0.93466,0.88300,0.85631,0.96684,0.51450,
64,0.93570,0.88400,0.84642,0.96510,0.51324,
128,0.93466,0.88800,0.83595,0.96603,0.51436,
256,0.93570,0.88300,0.85457,0.96521,0.51629,
512,0.92629,0.88800,0.83246,0.96429,0.51669,
1024,0.92734,0.89000,0.81414,0.96289,0.51436,
2048,0.92159,0.88500,0.83421,0.96313,,
