,amp,pub,amc,cph,fli,cam
1,0.21903,0.40700,0.10558,0.15921,0.42343,
2,0.15473,0.60600,0.10209,0.17405,0.42343,
4,0.59017,0.60600,0.31297,0.65538,0.48788,
8,0.79038,0.72700,0.62362,0.79963,0.50195,
16,0.89127,0.77100,0.81588,0.88091,0.51141,
32,0.89807,0.79100,0.86329,0.90364,0.51934,
64,0.91584,0.80700,0.87900,0.93646,0.52848,
128,0.91218,0.83900,0.88365,0.94423,0.51755,
256,0.91688,0.84300,0.88133,0.94747,0.51029,
512,0.91479,0.85800,0.88976,0.94933,0.47793,
1024,0.91741,0.85500,0.87871,0.94631,0.46403,
2048,0.85991,0.84400,0.83362,,,
