,16,32,64,128,256,512
0,654.504498,665.648053,683.153041,698.243257,791.806058,983.022217
1,654.854445,666.328439,684.605689,700.898631,794.486109,992.049805
2,655.125076,666.586824,685.396708,704.500638,794.982256,992.169744
3,656.941902,667.095249,685.690858,706.229569,796.134049,992.22058
4,657.3658,668.379154,686.335471,706.716521,796.430508,992.270887
5,657.399845,668.735844,686.851391,706.899044,796.696398,993.02685
6,657.736806,669.266443,687.208126,708.1644,799.116529,993.373218
7,658.304023,669.326438,687.481971,709.141751,799.346204,993.903507
8,658.801541,669.539858,687.938269,709.493004,800.125878,996.378577
9,658.899868,669.958092,688.286869,709.684902,802.420517,997.052376
10,659.653367,670.87564,688.366069,709.753695,802.432612,997.055283
11,659.790544,671.556784,689.291009,709.912934,802.602741,998.521835
12,659.830759,671.615518,689.294393,710.260721,803.777289,1001.257882
13,660.918851,671.787524,689.309175,710.339743,803.784875,1002.991477
14,661.406103,672.157155,689.748016,710.996078,809.010255,1004.78818
15,662.212371,674.38524,690.162065,711.111417,809.622551,1006.616275
16,662.878864,675.560844,690.716823,711.476022,809.628471,1006.649039
17,663.795106,675.69616,691.028643,711.793317,810.057711,1008.008592
18,665.013618,676.156396,691.092668,712.100895,810.199875,1010.487763
19,667.771735,676.541257,691.383931,712.451401,810.583104,1010.727741
20,667.809331,676.656958,691.679047,712.641582,810.860071,1012.165682
21,668.478006,677.132093,692.369269,712.829821,811.04861,1012.742622
22,668.531986,677.475796,692.395934,713.027179,811.057678,1012.978416
23,668.875795,677.951701,692.555055,713.170248,811.126415,1013.055914
24,668.967402,678.280362,692.84506,713.176605,811.183413,1013.459004
25,669.012389,678.416478,693.220931,713.370667,811.876714,1014.122536
26,669.101054,678.66036,693.471836,714.186273,812.279942,1014.552888
27,669.142075,679.198775,693.666955,714.727408,812.819726,1015.051563
28,669.145177,679.330539,694.057303,715.462624,813.248838,1016.364371
29,669.240528,679.393092,694.375321,715.559716,813.524565,1019.048767
30,669.254928,679.784494,694.438436,716.672958,813.690623,1021.495594
31,669.272813,681.170882,694.646304,717.090924,813.706974,1021.619646
32,669.360454,681.385948,694.657023,717.379825,814.43341,1022.678814
33,669.380101,681.387919,694.726185,717.981914,814.440122,1022.808953
34,669.437184,681.462933,694.872772,718.02335,815.393526,1022.847694
35,669.560372,681.623142,695.32861,718.380118,815.488955,1026.45447
36,669.688104,682.039552,695.438585,719.932489,816.889646,1026.709871
37,669.862804,682.351907,696.716772,720.285384,817.480377,1027.503355
38,669.901492,683.689833,697.61509,720.300103,817.712295,1028.861867
39,669.916626,683.996557,699.057294,720.640328,818.475884,1029.905355
40,670.253332,685.043726,699.37373,720.658887,818.555108,1031.862042
41,670.378026,685.245627,699.806345,722.439684,819.021804,1032.694327
42,670.769157,685.600859,700.126188,724.376595,819.208475,1033.34262
43,670.796706,686.796878,702.113751,726.069209,821.349926,1034.682818
44,671.223836,690.675597,702.818902,726.820053,821.819278,1036.024027
45,673.29891,692.797066,704.001579,728.367656,822.14291,1036.139709
46,682.801801,693.483275,714.655425,734.304764,822.840273,1036.206295
47,702.284265,710.479407,715.195112,747.987005,836.713401,1037.526879
48,702.632142,710.729263,728.932107,750.308973,838.871049,1047.530864
49,703.010107,719.630233,729.445081,754.802081,848.128191,1048.74918
