,gcn,ggnn,gat,gaan
0,16.970039,22.422502,64.421877,432.381062
1,17.174885,22.738538,64.900202,432.492732
2,17.225792,22.857215,65.076793,433.179292
3,17.232799,23.274329,65.244618,433.694381
4,17.242398,23.317205,65.4071,433.837601
5,17.246878,23.358514,65.632007,434.003313
6,17.258237,23.39307,65.814422,434.581307
7,17.282267,23.431051,65.850195,434.758126
8,17.293466,23.487814,65.990887,434.970872
9,17.300313,23.660438,66.166134,435.247167
10,17.313944,23.777803,66.188052,435.45118
11,17.319063,24.118893,66.231057,435.529094
12,17.319287,24.287198,66.285419,435.847976
13,17.328726,24.525095,66.287371,436.429299
14,17.333526,24.975263,66.320552,436.628737
15,17.348948,24.988893,66.447325,436.969633
16,17.37477,25.079317,66.45382,437.150641
17,17.400816,25.378329,66.504696,437.207772
18,17.404271,25.676127,66.605518,437.359264
19,17.421486,25.700924,66.676168,437.592361
20,17.433133,25.748728,66.733314,437.620982
21,17.534275,25.905322,66.749121,437.769944
22,17.549026,25.979491,66.808988,438.078156
23,17.587423,26.221101,66.812667,438.237264
24,17.811818,26.583308,66.824315,438.239982
25,18.155499,26.769948,66.851864,438.485399
26,18.705465,26.813655,66.882837,438.571632
27,18.742614,26.859987,66.908083,438.922239
28,18.820942,26.990055,66.979852,438.983114
29,19.10482,27.158232,67.020425,439.215395
30,19.174958,27.168151,67.029,439.47502
31,19.286372,27.17231,67.049414,439.779792
32,19.314146,27.260719,67.190393,439.98995
33,19.413049,27.287724,67.410085,440.314976
34,19.575754,27.361221,67.453569,440.700621
35,19.792566,27.37322,67.498077,441.261673
36,21.232147,27.517015,67.503613,441.510002
37,21.292462,27.524054,67.561047,441.572909
38,21.319915,27.66945,67.64616,441.687521
39,21.393253,27.886262,67.783331,441.992582
40,21.454335,27.901492,67.868059,442.110427
41,21.458719,28.030217,68.526655,442.674248
42,21.493531,28.288657,68.876927,442.839018
43,22.066536,28.445283,69.22048,442.898131
44,22.095493,28.664111,71.208139,443.168364
45,23.349778,29.022574,72.628074,443.203735
46,23.432427,29.947642,77.179979,443.278512
47,23.751278,33.893554,89.62451,443.553655
48,24.507369,34.256466,93.353258,459.497569
49,27.019269,34.795233,120.605816,473.63523
