,gcn,ggnn,gat,gaan
0,10.666009,13.998762,32.807422,215.602116
1,10.905507,14.000234,32.887415,215.772425
2,11.237861,14.202104,32.905814,215.837103
3,11.47272,14.577397,32.998189,215.905789
4,11.486766,14.721289,33.09322,215.926811
5,11.62349,15.504449,33.200955,215.928902
6,11.63792,15.643957,33.444997,216.009938
7,11.676285,16.515814,33.698542,216.226731
8,11.719769,16.667672,33.837602,216.418541
9,11.75855,17.061748,33.944504,216.506832
10,12.498962,17.325692,33.9478,216.523843
11,12.556813,17.428307,34.046639,216.551489
12,12.611848,17.663262,34.393007,216.570367
13,12.65898,17.748502,34.656727,216.697779
14,12.76825,18.267623,34.842342,216.746511
15,12.804502,18.634053,34.856389,216.750682
16,12.888016,18.738684,34.932797,216.76508
17,12.89323,18.869265,35.217732,216.880846
18,13.188116,18.923691,35.293597,216.938142
19,13.22232,18.964904,35.441456,216.962395
20,13.255342,19.292395,36.146704,216.964635
21,13.259149,19.344518,36.2362,217.031489
22,13.782558,19.396001,37.029983,217.119309
23,14.168347,19.483193,38.280686,217.17396
24,14.192025,19.601454,38.443071,217.228079
25,14.249716,19.775198,39.190459,217.346499
26,14.256371,20.326636,39.240599,217.368502
27,14.293872,20.395494,40.077131,217.404531
28,14.294191,20.480127,40.426924,217.465613
29,14.312654,20.547064,41.366294,217.535782
30,14.31675,20.713993,42.043256,217.551301
31,14.339756,20.754822,42.537803,217.656711
32,14.351435,20.778275,42.633795,217.706199
33,14.354378,20.79037,42.770583,217.734944
34,14.428932,20.977041,42.934727,217.754226
35,14.745511,21.008334,43.298055,217.820364
36,14.831167,21.066729,43.354945,217.887238
37,15.084552,21.090183,43.473431,217.902532
38,15.100743,21.347248,43.475158,218.079924
39,15.10535,21.49197,43.505652,218.083636
40,15.290901,21.742636,43.797178,218.470352
41,15.371918,21.957752,43.867187,218.639809
42,15.565629,22.453452,44.203189,218.906676
43,15.637238,23.029943,44.331145,218.922566
44,15.69784,23.314781,46.946331,218.925478
45,16.138665,23.821743,47.633309,219.154193
46,16.641435,24.877936,48.455507,219.346463
47,16.720916,25.455675,48.545994,219.955335
48,17.432499,25.768959,51.803587,232.85867
49,18.673634,25.789724,54.799379,241.375607
