,gcn,ggnn,gat
0,48.950608,58.584706,107.114109
1,49.973267,61.207315,108.224376
2,50.283862,61.308458,108.761031
3,50.28639,61.349958,109.116454
4,50.329618,61.48585,109.201375
5,50.382733,61.608814,109.342162
6,50.429961,61.682407,109.577213
7,50.469061,61.713829,109.613529
8,50.479748,61.717989,109.69589
9,50.515297,61.73226,109.715568
10,50.571772,61.755266,109.717392
11,50.584283,61.802333,109.902047
12,50.736269,61.885813,109.94006
13,50.766986,61.987084,109.978872
14,50.782088,62.055014,109.994838
15,50.845762,62.124896,110.065936
16,50.850306,62.20972,110.193508
17,50.920988,62.22943,110.253215
18,50.953817,62.234582,110.26675
19,50.990453,62.354091,110.297659
20,51.150215,62.357322,110.347222
21,51.16151,62.466593,110.374324
22,51.204546,62.533754,110.384563
23,51.250462,62.66539,110.407729
24,51.256733,62.702539,110.421744
25,51.261213,62.747495,110.52183
26,51.267581,62.765381,110.596544
27,51.287738,62.781828,110.603935
28,51.290874,62.807106,110.631709
29,51.417647,62.840798,110.632956
30,51.428141,62.866492,110.688503
31,51.519813,62.895322,110.725588
32,51.552834,62.996784,110.737714
33,51.652633,63.009774,110.740051
34,51.676887,63.157441,110.778479
35,51.705268,63.185503,110.807372
36,51.719539,63.221372,110.84177
37,51.7476,63.232378,110.876742
38,51.809195,63.56918,110.937537
39,51.834985,63.590362,110.948064
40,51.842151,63.628983,110.960287
41,52.030839,63.699824,111.03244
42,52.114383,63.75921,111.095698
43,52.136077,63.771146,111.131407
44,52.179594,63.917468,111.14571
45,52.401397,65.163531,111.259267
46,52.424211,65.683547,112.280775
47,62.6324,83.558301,113.812154
48,66.407736,85.165483,137.471182
49,78.632796,94.378275,142.176833
