,gcn,ggnn,gat,gaan
0,54.496748,130.273077,171.996303,915.570188
1,54.625407,130.752361,172.203228,916.924093
2,54.671387,131.006545,172.31269,917.224919
3,54.7038,131.256987,172.338255,918.16896
4,54.727478,131.262554,172.387403,921.701565
5,54.756243,131.283256,172.387723,924.080675
6,54.766515,131.370033,172.388196,924.581973
7,54.802736,131.455945,172.39802,924.591091
8,54.824878,131.559519,172.478812,926.454858
9,54.833229,131.571422,172.548597,927.326747
10,54.849803,131.617049,172.658828,927.623007
11,54.852523,131.663798,172.691305,927.634302
12,54.883912,131.711249,172.706247,929.360992
13,54.893063,131.837637,172.734892,929.614509
14,54.902823,131.865667,172.775681,930.240909
15,54.904614,131.906751,172.854785,931.190582
16,54.935267,131.950939,172.866201,931.66465
17,54.969696,131.974233,172.881342,931.860864
18,54.977471,131.976633,172.911156,931.989004
19,55.009629,131.976825,173.002028,932.081604
20,55.032762,131.98748,173.025617,932.101347
21,55.077143,132.135179,173.085964,932.135231
22,55.107124,132.154792,173.16778,932.447562
23,55.113651,132.155113,173.205312,932.60466
24,55.116243,132.256703,173.314007,932.623347
25,55.154,132.280062,173.366218,932.910649
26,55.157167,132.289308,173.366378,933.545925
27,55.158383,132.322425,173.372458,934.206153
28,55.161103,132.360918,173.400111,934.776853
29,55.195756,132.403474,173.425766,935.581099
30,55.198667,132.580514,173.428165,936.164341
31,55.207818,132.675673,173.439684,936.607693
32,55.237415,132.70751,173.473442,936.783453
33,55.297378,132.817068,173.502406,936.889939
34,55.320257,132.881638,173.50739,938.630387
35,55.334367,132.887398,173.508446,939.321267
36,55.336575,132.896101,173.541627,939.358191
37,55.351261,132.98067,173.544635,939.692049
38,55.43199,133.147118,173.674863,940.880484
39,55.469523,133.210696,173.807362,941.220805
40,55.492561,133.437236,173.898402,941.692826
41,55.580072,133.650369,173.944887,943.023392
42,55.807892,133.675134,173.979891,944.455548
43,56.015137,133.697436,174.027215,945.066852
44,56.094809,133.755606,174.219133,946.920763
45,58.854238,134.006016,174.340562,948.042868
46,62.723356,134.564781,175.056369,951.2458
47,62.925673,135.319656,175.63446,963.258876
48,63.034111,136.709066,192.678328,967.868829
49,70.612619,142.740579,196.648933,969.026929
