,gcn,ggnn,gat,gaan
0,10.096618,13.485846,23.985883,697.535376
1,10.12212,13.536305,24.154764,697.546779
2,10.128487,13.633416,24.30547,697.684745
3,10.150405,13.808984,24.792497,699.5432
4,10.152933,14.073856,25.31085,700.306995
5,10.169924,14.09715,25.328928,700.623997
6,10.187266,14.149465,25.823507,701.302711
7,10.205376,14.171511,25.848657,702.179688
8,10.217279,14.411618,25.920075,702.71887
9,10.218271,14.598993,26.8661,702.760083
10,10.241501,14.696648,26.934094,702.885895
11,10.242301,14.800638,27.353192,703.351229
12,10.261595,14.898998,27.5677,703.831889
13,10.282393,15.047304,27.77501,704.275219
14,10.317014,15.203097,28.029291,706.426084
15,10.354803,15.208889,28.047785,706.595668
16,10.657688,15.40148,28.390506,706.754321
17,10.723314,15.44218,28.507359,707.010799
18,10.80449,15.521053,28.735114,707.151853
19,10.817641,15.566905,29.672629,707.689947
20,10.84983,15.736169,29.7412,708.104299
21,10.85351,15.769222,29.779148,708.812628
22,10.863813,15.845663,29.859364,709.014722
23,10.90768,16.004881,29.878754,709.487895
24,10.95846,16.128421,30.107693,709.879332
25,11.240931,16.162594,30.21722,711.02608
26,11.337177,16.198143,30.246209,711.262773
27,11.45899,16.250682,30.316763,711.533244
28,11.736597,16.329715,30.729461,714.051174
29,11.813614,16.810855,30.815342,715.164176
30,11.81867,16.87373,30.883495,715.294485
31,11.885159,16.919709,30.898118,715.807637
32,11.942338,17.181926,31.038073,716.066862
33,12.003133,17.422447,31.130097,716.221728
34,12.232296,17.469868,31.296226,716.24643
35,12.309217,17.593184,31.384794,716.468137
36,12.360317,18.128624,31.857359,716.516293
37,12.457588,18.362202,31.860142,716.654104
38,12.501904,19.577931,33.05085,717.057331
39,12.53982,19.805239,33.054018,717.082129
40,12.599847,20.074943,33.893685,719.595243
41,12.737915,20.29041,33.925138,721.311854
42,13.082011,20.43459,34.135008,721.619122
43,13.288232,20.469946,34.303696,722.325038
44,13.580749,20.659689,34.46397,722.584922
45,14.362951,20.737538,35.912318,723.072733
46,14.516057,20.80214,36.562947,726.928716
47,14.932083,20.958094,38.481876,737.949174
48,15.083589,21.742503,38.48658,743.979538
49,15.247127,21.795714,39.589999,753.849036
