,memory,diff_memory
0,83642880,81420288
1,81797120,77268480
2,82121216,77621760
3,82992640,78461440
4,82018304,77468672
5,78638592,74174976
6,70386688,65891840
7,13869056,9944576
8,13687296,9601024
9,13827072,9769984
10,13950464,9861632
11,13549056,9441792
12,13254144,9232896
13,11584000,7531520
14,83642880,81420288
15,81797120,77268480
16,82121216,77621760
17,82992640,78461440
18,82018304,77468672
19,78638592,74174976
20,70386688,65891840
21,13869056,9944576
22,13687296,9601024
23,13827072,9769984
24,13950464,9861632
25,13549056,9441792
26,13254144,9232896
27,11584000,7531520
28,83642880,81420288
29,81797120,77268480
30,82121216,77621760
31,82992640,78461440
32,82018304,77468672
33,78638592,74174976
34,70386688,65891840
35,13869056,9944576
36,13687296,9601024
37,13827072,9769984
38,13950464,9861632
39,13549056,9441792
40,13254144,9232896
41,11584000,7531520
42,83642880,81420288
43,81797120,77268480
44,82121216,77621760
45,82992640,78461440
46,82018304,77468672
47,78638592,74174976
48,70386688,65891840
49,13869056,9944576
50,13687296,9601024
51,13827072,9769984
52,13950464,9861632
53,13549056,9441792
54,13254144,9232896
55,11584000,7531520
56,83642880,81420288
57,81797120,77268480
58,82121216,77621760
59,82992640,78461440
60,82018304,77468672
61,78638592,74174976
62,70386688,65891840
63,13869056,9944576
64,13687296,9601024
65,13827072,9769984
66,13950464,9861632
67,13549056,9441792
68,13254144,9232896
69,11584000,7531520
70,83642880,81420288
71,81797120,77268480
72,82121216,77621760
73,82992640,78461440
74,82018304,77468672
75,78638592,74174976
76,70386688,65891840
77,13869056,9944576
78,13687296,9601024
79,13827072,9769984
80,13950464,9861632
81,13549056,9441792
82,13254144,9232896
83,11584000,7531520
