,memory,diff_memory
0,39012864,37835264
1,40624640,38446592
2,39635456,37386240
3,39584256,37391872
4,40497152,38294016
5,38904832,36677632
6,39366144,37192704
7,27984896,25790976
8,5895680,4214272
9,6160384,4211712
10,5988352,3968512
11,6004224,4041216
12,6128640,4154880
13,5846016,3848192
14,5960192,4016128
15,4180992,2216448
16,39012864,37835264
17,40624640,38446592
18,39635456,37386240
19,39584256,37391872
20,40497152,38294016
21,38904832,36677632
22,39366144,37192704
23,27984896,25790976
24,5895680,4214272
25,6160384,4211712
26,5988352,3968512
27,6004224,4041216
28,6128640,4154880
29,5846016,3848192
30,5960192,4016128
31,4180992,2216448
32,39012864,37835264
33,40624640,38446592
34,39635456,37386240
35,39584256,37391872
36,40497152,38294016
37,38904832,36677632
38,39366144,37192704
39,27984896,25790976
40,5895680,4214272
41,6160384,4211712
42,5988352,3968512
43,6004224,4041216
44,6128640,4154880
45,5846016,3848192
46,5960192,4016128
47,4180992,2216448
48,39012864,37835264
49,40624640,38446592
50,39635456,37386240
51,39584256,37391872
52,40497152,38294016
53,38904832,36677632
54,39366144,37192704
55,27984896,25790976
56,5895680,4214272
57,6160384,4211712
58,5988352,3968512
59,6004224,4041216
60,6128640,4154880
61,5846016,3848192
62,5960192,4016128
63,4180992,2216448
64,39012864,37835264
65,40624640,38446592
66,39635456,37386240
67,39584256,37391872
68,40497152,38294016
69,38904832,36677632
70,39366144,37192704
71,27984896,25790976
72,5895680,4214272
73,6160384,4211712
74,5988352,3968512
75,6004224,4041216
76,6128640,4154880
77,5846016,3848192
78,5960192,4016128
79,4180992,2216448
