,memory,diff_memory
0,840001024,835722240
1,849652224,843006976
2,860601856,853812224
3,866902528,860061184
4,870739968,863866368
5,858700288,851936768
6,849955840,843233792
7,848339968,841650688
8,505742336,499071488
9,14636032,9385472
10,15105024,9426432
11,15323136,9500160
12,15458304,9583616
13,15209472,9302528
14,14999552,9202688
15,14841344,9085952
16,14775808,9053184
17,9796608,4092416
18,840001024,835722240
19,849652224,843006976
20,860601856,853812224
21,866902528,860061184
22,870739968,863866368
23,858700288,851936768
24,849955840,843233792
25,848339968,841650688
26,505742336,499071488
27,14636032,9385472
28,15105024,9426432
29,15323136,9500160
30,15458304,9583616
31,15209472,9302528
32,14999552,9202688
33,14841344,9085952
34,14775808,9053184
35,9796608,4092416
36,840001024,835722240
37,849652224,843006976
38,860601856,853812224
39,866902528,860061184
40,870739968,863866368
41,858700288,851936768
42,849955840,843233792
43,848339968,841650688
44,505742336,499071488
45,14636032,9385472
46,15105024,9426432
47,15323136,9500160
48,15458304,9583616
49,15209472,9302528
50,14999552,9202688
51,14841344,9085952
52,14775808,9053184
53,9796608,4092416
54,840001024,835722240
55,849652224,843006976
56,860601856,853812224
57,866902528,860061184
58,870739968,863866368
59,858700288,851936768
60,849955840,843233792
61,848339968,841650688
62,505742336,499071488
63,14636032,9385472
64,15105024,9426432
65,15323136,9500160
66,15458304,9583616
67,15209472,9302528
68,14999552,9202688
69,14841344,9085952
70,14775808,9053184
71,9796608,4092416
72,840001024,835722240
73,849652224,843006976
74,860601856,853812224
75,866902528,860061184
76,870739968,863866368
77,858700288,851936768
78,849955840,843233792
79,848339968,841650688
80,505742336,499071488
81,14636032,9385472
82,15105024,9426432
83,15323136,9500160
84,15458304,9583616
85,15209472,9302528
86,14999552,9202688
87,14841344,9085952
88,14775808,9053184
89,9796608,4092416
