,memory,diff_memory
0,388965376,384878080
1,248120320,231535104
2,212235776,199436800
3,190713856,179252736
4,174257152,163243008
5,89486848,78769664
6,58245120,51298304
7,37733376,24883712
8,32450560,23523840
9,29163008,21437440
10,27064832,19786240
11,15363584,8381952
12,388965376,384878080
13,248120320,231535104
14,212235776,199436800
15,190713856,179252736
16,174257152,163243008
17,89486848,78769664
18,58245120,51298304
19,37733376,24883712
20,32450560,23523840
21,29163008,21437440
22,27064832,19786240
23,15363584,8381952
24,388965376,384878080
25,248120320,231535104
26,212235776,199436800
27,190713856,179252736
28,174257152,163243008
29,89486848,78769664
30,58245120,51298304
31,37733376,24883712
32,32450560,23523840
33,29163008,21437440
34,27064832,19786240
35,15363584,8381952
36,388965376,384878080
37,248120320,231535104
38,212235776,199436800
39,190713856,179252736
40,174257152,163243008
41,89486848,78769664
42,58245120,51298304
43,37733376,24883712
44,32450560,23523840
45,29163008,21437440
46,27064832,19786240
47,15363584,8381952
48,388965376,384878080
49,248120320,231535104
50,212235776,199436800
51,190713856,179252736
52,174257152,163243008
53,89486848,78769664
54,58245120,51298304
55,37733376,24883712
56,32450560,23523840
57,29163008,21437440
58,27064832,19786240
59,15363584,8381952
60,388965376,384878080
61,248120320,231535104
62,212235776,199436800
63,190713856,179252736
64,174257152,163243008
65,89486848,78769664
66,58245120,51298304
67,37733376,24883712
68,32450560,23523840
69,29163008,21437440
70,27064832,19786240
71,15363584,8381952
72,388965376,384878080
73,248120320,231535104
74,212235776,199436800
75,190713856,179252736
76,174257152,163243008
77,89486848,78769664
78,58245120,51298304
79,37733376,24883712
80,32450560,23523840
81,29163008,21437440
82,27064832,19786240
83,15363584,8381952
