,memory,diff_memory
0,81370624,24644096
1,71610880,14321152
2,69667328,12496384
3,71653376,14506496
4,69334016,12161536
5,67177984,10034176
6,65232896,8117248
7,63537664,6446592
8,66919424,9849856
9,68772352,11660800
10,77991936,20856320
11,72155136,14904320
12,70815232,13636096
13,71694336,14532608
14,67654656,10480640
15,69598720,12476928
16,67580416,10433536
17,65989120,8868352
18,66428416,9328128
19,63269888,6164480
20,74403840,17337344
21,74114048,16902656
22,72204288,14997504
23,69495296,12315136
24,70781440,13638144
25,68229632,11067904
26,65617920,8489472
27,65163264,8067072
28,64193536,7104000
29,64933888,7856128
30,70402560,13316096
31,72681984,15524352
32,69517824,12332544
33,72666624,15521792
34,70950912,13765632
35,69891584,12727808
36,66715648,9565696
37,64915456,7806976
38,65068032,7981568
39,65403392,8314880
40,65212928,8121344
41,80265728,23175680
42,72227840,14938112
43,70263296,13081600
44,73515520,16360960
45,70401536,13205504
46,67139072,9983488
47,67728896,10614272
48,65208832,8087040
49,64076800,6986752
50,64636416,7560704
51,72969728,15886336
52,65891840,8700928
53,74083328,16985600
54,66533888,9329152
55,68668416,11561984
56,67464704,10330624
57,68270592,11151872
58,69481984,12353536
59,70943744,13798912
60,66266112,9103872
61,70750208,13646336
62,69967360,12805632
63,69553152,12403200
64,70156288,13011456
65,67355136,10202112
66,68777984,11660288
67,70682624,13548032
68,71967744,14806016
69,69920768,12743680
70,70060032,12909056
71,67526656,10374144
72,74664448,17545216
73,68352000,11141120
74,71759360,14629888
75,72662528,15490048
76,69242368,12054528
77,73506304,16366080
78,74160128,16964096
79,73410560,16204288
80,68660736,11466752
81,68864000,11730944
82,67596800,10460672
83,71150080,14029312
84,77896192,20729856
85,77625344,20380672
86,78445568,21209600
87,75953152,18692608
88,77630464,20405248
89,75772416,18536448
90,82623488,25399808
91,73242624,15927296
92,75700736,18510848
93,77758464,20536320
94,78037504,20796928
95,77947392,20698112
96,77799424,20553216
97,75020800,17777152
98,79339008,22123008
99,74218496,16946176
100,100940288,43734016
101,102021120,44447232
102,96425472,38843904
103,104691712,47187456
104,92763648,35123712
105,86653440,29202944
106,81158656,23795200
107,75551232,18269696
108,77997056,20775424
109,98654208,41407488
110,82670592,25128960
111,96461312,39147008
112,98691072,41183232
113,88928768,31381504
114,83236352,25843712
115,74338816,17015808
116,81434624,24229376
117,90508288,33218560
118,88508416,31085568
119,92636160,35255808
120,90753024,33306624
121,96559104,39134720
122,81581568,24071168
123,92338688,35045888
124,105221632,47785984
125,92441088,34798592
126,96379904,38940160
127,106796032,49295872
128,90683904,33004544
129,93174784,35749888
130,91149824,33686528
131,96878080,39439872
132,96389632,38864896
133,92571648,35068928
134,93232128,35788800
135,97987584,40521728
136,86658560,29118464
137,106515456,49144320
138,92432896,34781184
139,90925568,33485312
140,97905152,40475648
141,94332928,36794880
142,89069056,31583232
143,97335296,39936512
144,91248640,33722368
145,96872960,39435776
146,90362368,32842752
147,97391616,39967232
148,92293120,34771456
149,77870080,20433408
150,104019968,46775296
151,104390144,46770688
152,94722560,37087744
153,94389248,36906496
154,96049664,38573056
155,92273152,34783744
156,96257536,38823424
157,80020480,22523392
158,83116032,25835520
159,89049088,31718400
160,90355200,32953856
161,93125120,35703808
162,90264576,32800256
163,100757504,43336192
164,92736512,35156480
165,85495808,28042240
166,100313600,42960896
167,92403200,34837504
168,90655744,33217024
169,85106176,27678208
170,93203456,35863040
171,94294528,36835840
172,88604672,31121408
173,90888192,33503232
174,82805760,25381376
175,96126976,38811648
176,101975040,44482560
177,106759680,49170432
178,102056448,44400128
179,89158144,31556608
180,86147584,28746240
181,92422144,35063296
182,92592128,35150848
183,98495488,41048064
184,100359680,42823168
185,93050368,35483136
186,88561664,31102976
187,85461504,28077056
188,96561664,39209472
189,96218624,38709760
190,89430016,31936000
191,96767488,39353344
192,82222080,24707072
193,96749056,39441408
194,99930112,42417664
195,90521088,32973312
196,90341888,32922112
197,93268992,35846144
198,81260544,23792640
199,66945536,9660416
200,89303552,32192512
201,109851136,52436992
202,92402688,34682880
203,84818432,27379712
204,98167296,40836096
205,105129472,47584768
206,94836224,37196800
207,100739584,43250688
208,106009600,48428544
209,100050432,42387968
210,108132352,50582016
211,104008192,46323712
212,92430336,34813952
213,96460800,39023616
214,100127232,42622976
215,104104960,46546944
216,98435072,40818176
217,100280832,42747392
218,108119552,50556416
219,98542080,40868352
220,86580736,29026816
221,81115648,23739904
222,86017024,28738560
223,96297984,38931456
224,93805568,36305920
225,99721728,42250752
226,86159872,28620288
227,66464768,9102848
228,109846016,52740608
229,114460672,56743936
230,106486784,48695296
231,92128768,34451968
232,92749824,35320320
233,101091840,43641344
234,112051200,54457856
235,98694656,40953856
236,102572032,45028864
237,97798144,40188928
238,97100288,39560192
239,100674560,43158016
240,102951424,45374976
241,104354304,46734336
242,96851968,39224320
243,96312832,38795776
244,97506304,40004608
245,110151680,52624384
246,106310144,48567808
247,95984640,38337024
248,94667776,37180416
249,85526528,28028416
250,112124928,54769664
251,93572608,35825152
252,89017856,31550464
253,74676736,17279488
254,76079616,18868736
255,64550912,7321600
256,112369664,55287808
257,124760064,67002368
258,102639104,44669440
259,112406528,54801920
260,109615616,51867136
261,100570112,42863104
262,101248000,43685376
263,106282496,48704000
264,104285184,46636544
265,104194048,46567936
266,104910336,47289344
267,105105408,47469056
268,107025920,49386496
269,104289280,46626816
270,96014336,38391296
271,89774080,32285184
272,87336448,29927424
273,85437440,28055552
274,85809664,28460544
275,99117056,41758720
276,96231424,38662656
277,93691904,36197888
278,81910272,24444416
279,74974720,17673216
280,74017792,16804864
281,74526208,17324544
282,65498624,8291840
283,64621056,7527936
284,116283392,59201024
285,93785088,35965440
286,102004224,44533760
287,98338304,40751104
288,110840320,53309440
289,100986880,43242496
290,101740544,44160512
291,93077504,35492864
292,115323392,57865216
293,103974400,46196224
294,97594368,39985152
295,102112768,44588544
296,104442368,46834688
297,94230528,36600320
298,104632320,47155200
299,91229696,33589760
300,104539136,47090176
301,77822464,20189184
302,82706432,25464832
303,73457152,16142848
304,96655872,39461888
305,100803584,43288576
306,101702656,44127744
307,92523008,34929152
308,83397120,25955328
309,82588160,25263616
310,94515712,37203456
311,90021888,32540160
312,115558400,58143232
313,145005568,87159808
314,127739904,69380096
315,120129024,62134272
316,103844864,45979648
317,111962624,54355456
318,108096512,50352128
319,105190912,47537152
320,100498944,42868736
321,106775040,49206272
322,96104960,38461952
323,94425088,36932608
324,92149760,34660864
325,96868864,39439872
326,86629376,29111296
327,86363648,28995584
328,96493568,39133696
329,75402240,17894912
330,89433088,32217088
331,90419200,33011200
332,88697344,31273984
333,81534976,24145920
334,89077760,31785472
335,96599552,39196160
336,78195712,20686848
337,83056640,25802752
338,73178112,15859200
339,81970176,24781824
340,86990336,29682688
341,112844288,55464448
342,155864576,98080768
343,131657216,73121792
344,120573952,62498304
345,129276928,71397888
346,106891264,48852480
347,104250368,46588928
348,98719744,41099776
349,98446336,40901632
350,98097152,40563200
351,105137664,47596544
352,112203776,54577664
353,85828096,28076544
354,96782848,39426048
355,96249344,38735360
356,96977408,39477760
357,82069504,24544768
358,77686784,20383744
359,85957120,28719616
360,81608192,24249856
361,77500416,20206080
362,82449920,25218560
363,97544704,40237056
364,77966848,20431360
365,82965504,25719296
366,89808384,32492544
367,77674496,20261888
368,78973952,21736960
369,86510080,29243904
370,67817472,10445312
371,154634240,97512448
372,142325248,83756544
373,120023040,61744128
374,103908352,46035456
375,120366080,62758400
376,104369664,46478336
377,114102784,56477184
378,89015296,31233024
379,98627584,41231872
380,102447104,44905984
381,82654208,25057792
382,96976384,39665152
383,81197056,23676928
384,93887488,36605952
385,81551872,24088576
386,84995072,27702784
387,101378560,44042752
388,104451584,46857728
389,100277760,42642944
390,84604928,27043840
391,86363648,29042176
392,94239744,36875264
393,93194240,35706880
394,86845952,29386240
