,memory,diff_memory
0,209917440,207694848
1,153859584,141537792
2,41010176,32681472
3,27442176,16822784
4,209917440,207694848
5,153859584,141537792
6,41010176,32681472
7,27442176,16822784
8,209917440,207694848
9,153859584,141537792
10,41010176,32681472
11,27442176,16822784
12,209917440,207694848
13,153859584,141537792
14,41010176,32681472
15,27442176,16822784
16,209917440,207694848
17,153859584,141537792
18,41010176,32681472
19,27442176,16822784
20,209917440,207694848
21,153859584,141537792
22,41010176,32681472
23,27442176,16822784
24,209917440,207694848
25,153859584,141537792
26,41010176,32681472
27,27442176,16822784
28,209917440,207694848
29,153859584,141537792
30,41010176,32681472
31,27442176,16822784
32,209917440,207694848
33,153859584,141537792
34,41010176,32681472
35,27442176,16822784
36,209917440,207694848
37,153859584,141537792
38,41010176,32681472
39,27442176,16822784
40,209917440,207694848
41,153859584,141537792
42,41010176,32681472
43,27442176,16822784
44,209917440,207694848
45,153859584,141537792
46,41010176,32681472
47,27442176,16822784
48,209917440,207694848
49,153859584,141537792
50,41010176,32681472
51,27442176,16822784
52,209917440,207694848
53,153859584,141537792
54,41010176,32681472
55,27442176,16822784
56,209917440,207694848
57,153859584,141537792
58,41010176,32681472
59,27442176,16822784
60,209917440,207694848
61,153859584,141537792
62,41010176,32681472
63,27442176,16822784
64,209917440,207694848
65,153859584,141537792
66,41010176,32681472
67,27442176,16822784
68,209917440,207694848
69,153859584,141537792
70,41010176,32681472
71,27442176,16822784
72,209917440,207694848
73,153859584,141537792
74,41010176,32681472
75,27442176,16822784
76,209917440,207694848
77,153859584,141537792
78,41010176,32681472
79,27442176,16822784
