,memory,diff_memory
0,1074744832,1070466048
1,1079374336,1069255680
2,1091095040,1081659392
3,1086760960,1077554688
4,505742336,496662016
5,20498944,15248384
6,21406208,14183936
7,21621760,14119424
8,20388352,13115392
9,9796608,2649600
10,1074744832,1070466048
11,1079374336,1069255680
12,1091095040,1081659392
13,1086760960,1077554688
14,505742336,496662016
15,20498944,15248384
16,21406208,14183936
17,21621760,14119424
18,20388352,13115392
19,9796608,2649600
20,1074744832,1070466048
21,1079374336,1069255680
22,1091095040,1081659392
23,1086760960,1077554688
24,505742336,496662016
25,20498944,15248384
26,21406208,14183936
27,21621760,14119424
28,20388352,13115392
29,9796608,2649600
30,1074744832,1070466048
31,1079374336,1069255680
32,1091095040,1081659392
33,1086760960,1077554688
34,505742336,496662016
35,20498944,15248384
36,21406208,14183936
37,21621760,14119424
38,20388352,13115392
39,9796608,2649600
40,1074744832,1070466048
41,1079374336,1069255680
42,1091095040,1081659392
43,1086760960,1077554688
44,505742336,496662016
45,20498944,15248384
46,21406208,14183936
47,21621760,14119424
48,20388352,13115392
49,9796608,2649600
50,1074744832,1070466048
51,1079374336,1069255680
52,1091095040,1081659392
53,1086760960,1077554688
54,505742336,496662016
55,20498944,15248384
56,21406208,14183936
57,21621760,14119424
58,20388352,13115392
59,9796608,2649600
60,1074744832,1070466048
61,1079374336,1069255680
62,1091095040,1081659392
63,1086760960,1077554688
64,505742336,496662016
65,20498944,15248384
66,21406208,14183936
67,21621760,14119424
68,20388352,13115392
69,9796608,2649600
70,1074744832,1070466048
71,1079374336,1069255680
72,1091095040,1081659392
73,1086760960,1077554688
74,505742336,496662016
75,20498944,15248384
76,21406208,14183936
77,21621760,14119424
78,20388352,13115392
79,9796608,2649600
