,memory,diff_memory
0,307994112,303906816
1,194698240,182856704
2,164721152,155889152
3,147522560,139215872
4,134173696,125488128
5,126716416,118876672
6,118434816,110725632
7,112742400,105140736
8,107679744,100178944
9,102267904,94829056
10,89486848,82120192
11,46704128,39757312
12,30147072,19437568
13,26036224,19072000
14,24400384,17490432
15,22316544,16158720
16,20378112,13623808
17,19344896,13503488
18,18412544,12678656
19,17882624,12249600
20,17202688,11631616
21,15363584,9864704
22,307994112,303906816
23,194698240,182856704
24,164721152,155889152
25,147522560,139215872
26,134173696,125488128
27,126716416,118876672
28,118434816,110725632
29,112742400,105140736
30,107679744,100178944
31,102267904,94829056
32,89486848,82120192
33,46704128,39757312
34,30147072,19437568
35,26036224,19072000
36,24400384,17490432
37,22316544,16158720
38,20378112,13623808
39,19344896,13503488
40,18412544,12678656
41,17882624,12249600
42,17202688,11631616
43,15363584,9864704
44,307994112,303906816
45,194698240,182856704
46,164721152,155889152
47,147522560,139215872
48,134173696,125488128
49,126716416,118876672
50,118434816,110725632
51,112742400,105140736
52,107679744,100178944
53,102267904,94829056
54,89486848,82120192
55,46704128,39757312
56,30147072,19437568
57,26036224,19072000
58,24400384,17490432
59,22316544,16158720
60,20378112,13623808
61,19344896,13503488
62,18412544,12678656
63,17882624,12249600
64,17202688,11631616
65,15363584,9864704
66,307994112,303906816
67,194698240,182856704
68,164721152,155889152
69,147522560,139215872
70,134173696,125488128
71,126716416,118876672
72,118434816,110725632
73,112742400,105140736
74,107679744,100178944
75,102267904,94829056
76,89486848,82120192
77,46704128,39757312
78,30147072,19437568
79,26036224,19072000
80,24400384,17490432
81,22316544,16158720
82,20378112,13623808
83,19344896,13503488
84,18412544,12678656
85,17882624,12249600
86,17202688,11631616
87,15363584,9864704
