,memory,diff_memory
0,37711360,37147648
1,36001792,33936384
2,36634112,34580992
3,35741184,33669632
4,31047680,29007360
5,4714496,2947584
6,4476928,3410944
7,4542464,3488768
8,4453376,3381248
9,3949568,2908672
10,37711360,37147648
11,36001792,33936384
12,36634112,34580992
13,35741184,33669632
14,31047680,29007360
15,4714496,2947584
16,4476928,3410944
17,4542464,3488768
18,4453376,3381248
19,3949568,2908672
20,37711360,37147648
21,36001792,33936384
22,36634112,34580992
23,35741184,33669632
24,31047680,29007360
25,4714496,2947584
26,4476928,3410944
27,4542464,3488768
28,4453376,3381248
29,3949568,2908672
30,37711360,37147648
31,36001792,33936384
32,36634112,34580992
33,35741184,33669632
34,31047680,29007360
35,4714496,2947584
36,4476928,3410944
37,4542464,3488768
38,4453376,3381248
39,3949568,2908672
40,37711360,37147648
41,36001792,33936384
42,36634112,34580992
43,35741184,33669632
44,31047680,29007360
45,4714496,2947584
46,4476928,3410944
47,4542464,3488768
48,4453376,3381248
49,3949568,2908672
50,37711360,37147648
51,36001792,33936384
52,36634112,34580992
53,35741184,33669632
54,31047680,29007360
55,4714496,2947584
56,4476928,3410944
57,4542464,3488768
58,4453376,3381248
59,3949568,2908672
60,37711360,37147648
61,36001792,33936384
62,36634112,34580992
63,35741184,33669632
64,31047680,29007360
65,4714496,2947584
66,4476928,3410944
67,4542464,3488768
68,4453376,3381248
69,3949568,2908672
70,37711360,37147648
71,36001792,33936384
72,36634112,34580992
73,35741184,33669632
74,31047680,29007360
75,4714496,2947584
76,4476928,3410944
77,4542464,3488768
78,4453376,3381248
79,3949568,2908672
