,memory,diff_memory
0,126137856,123915264
1,127328256,120522752
2,122104320,115247104
3,70386688,63581184
4,22445568,18521088
5,22575616,16654848
6,22413312,16440832
7,11584000,5663232
8,126137856,123915264
9,127328256,120522752
10,122104320,115247104
11,70386688,63581184
12,22445568,18521088
13,22575616,16654848
14,22413312,16440832
15,11584000,5663232
16,126137856,123915264
17,127328256,120522752
18,122104320,115247104
19,70386688,63581184
20,22445568,18521088
21,22575616,16654848
22,22413312,16440832
23,11584000,5663232
24,126137856,123915264
25,127328256,120522752
26,122104320,115247104
27,70386688,63581184
28,22445568,18521088
29,22575616,16654848
30,22413312,16440832
31,11584000,5663232
32,126137856,123915264
33,127328256,120522752
34,122104320,115247104
35,70386688,63581184
36,22445568,18521088
37,22575616,16654848
38,22413312,16440832
39,11584000,5663232
40,126137856,123915264
41,127328256,120522752
42,122104320,115247104
43,70386688,63581184
44,22445568,18521088
45,22575616,16654848
46,22413312,16440832
47,11584000,5663232
48,126137856,123915264
49,127328256,120522752
50,122104320,115247104
51,70386688,63581184
52,22445568,18521088
53,22575616,16654848
54,22413312,16440832
55,11584000,5663232
56,126137856,123915264
57,127328256,120522752
58,122104320,115247104
59,70386688,63581184
60,22445568,18521088
61,22575616,16654848
62,22413312,16440832
63,11584000,5663232
64,126137856,123915264
65,127328256,120522752
66,122104320,115247104
67,70386688,63581184
68,22445568,18521088
69,22575616,16654848
70,22413312,16440832
71,11584000,5663232
72,126137856,123915264
73,127328256,120522752
74,122104320,115247104
75,70386688,63581184
76,22445568,18521088
77,22575616,16654848
78,22413312,16440832
79,11584000,5663232
