,memory,diff_memory
0,156771328,155593728
1,25539072,16686592
2,156771328,155593728
3,25539072,16686592
4,156771328,155593728
5,25539072,16686592
6,156771328,155593728
7,25539072,16686592
8,156771328,155593728
9,25539072,16686592
10,156771328,155593728
11,25539072,16686592
12,156771328,155593728
13,25539072,16686592
14,156771328,155593728
15,25539072,16686592
16,156771328,155593728
17,25539072,16686592
18,156771328,155593728
19,25539072,16686592
20,156771328,155593728
21,25539072,16686592
22,156771328,155593728
23,25539072,16686592
24,156771328,155593728
25,25539072,16686592
26,156771328,155593728
27,25539072,16686592
28,156771328,155593728
29,25539072,16686592
30,156771328,155593728
31,25539072,16686592
32,156771328,155593728
33,25539072,16686592
34,156771328,155593728
35,25539072,16686592
36,156771328,155593728
37,25539072,16686592
38,156771328,155593728
39,25539072,16686592
40,156771328,155593728
41,25539072,16686592
42,156771328,155593728
43,25539072,16686592
44,156771328,155593728
45,25539072,16686592
46,156771328,155593728
47,25539072,16686592
48,156771328,155593728
49,25539072,16686592
50,156771328,155593728
51,25539072,16686592
52,156771328,155593728
53,25539072,16686592
54,156771328,155593728
55,25539072,16686592
56,156771328,155593728
57,25539072,16686592
58,156771328,155593728
59,25539072,16686592
60,156771328,155593728
61,25539072,16686592
62,156771328,155593728
63,25539072,16686592
64,156771328,155593728
65,25539072,16686592
66,156771328,155593728
67,25539072,16686592
68,156771328,155593728
69,25539072,16686592
70,156771328,155593728
71,25539072,16686592
72,156771328,155593728
73,25539072,16686592
74,156771328,155593728
75,25539072,16686592
76,156771328,155593728
77,25539072,16686592
78,156771328,155593728
79,25539072,16686592
