,memory,diff_memory
0,570492416,566213632
1,589070848,583644672
2,593610752,588112384
3,619543552,614021632
4,620048384,614500864
5,624197120,618642944
6,627743232,622176768
7,618245632,612653568
8,626430976,620870656
9,603855872,598320640
10,601363968,595856384
11,610274816,604784128
12,597413376,591902208
13,605838336,600371712
14,604082688,598581248
15,571479552,565962240
16,505742336,500310016
17,10574848,5324288
18,10916864,5974016
19,11010560,5995520
20,11293184,6254592
21,11318272,6254080
22,11382272,6311424
23,11480576,6397440
24,11318784,6210048
25,11318784,6241792
26,11061248,6009344
27,10994688,5970432
28,11119616,6112256
29,10901504,5873664
30,11062784,6079488
31,11086336,6068224
32,10599424,5565440
33,9796608,4847616
34,570492416,566213632
35,589070848,583644672
36,593610752,588112384
37,619543552,614021632
38,620048384,614500864
39,624197120,618642944
40,627743232,622176768
41,618245632,612653568
42,626430976,620870656
43,603855872,598320640
44,601363968,595856384
45,610274816,604784128
46,597413376,591902208
47,605838336,600371712
48,604082688,598581248
49,571479552,565962240
50,505742336,500310016
51,10574848,5324288
52,10916864,5974016
53,11010560,5995520
54,11293184,6254592
55,11318272,6254080
56,11382272,6311424
57,11480576,6397440
58,11318784,6210048
59,11318784,6241792
60,11061248,6009344
61,10994688,5970432
62,11119616,6112256
63,10901504,5873664
64,11062784,6079488
65,11086336,6068224
66,10599424,5565440
67,9796608,4847616
68,570492416,566213632
69,589070848,583644672
70,593610752,588112384
71,619543552,614021632
72,620048384,614500864
73,624197120,618642944
74,627743232,622176768
75,618245632,612653568
76,626430976,620870656
77,603855872,598320640
78,601363968,595856384
79,610274816,604784128
80,597413376,591902208
81,605838336,600371712
82,604082688,598581248
83,571479552,565962240
84,505742336,500310016
85,10574848,5324288
86,10916864,5974016
87,11010560,5995520
88,11293184,6254592
89,11318272,6254080
90,11382272,6311424
91,11480576,6397440
92,11318784,6210048
93,11318784,6241792
94,11061248,6009344
95,10994688,5970432
96,11119616,6112256
97,10901504,5873664
98,11062784,6079488
99,11086336,6068224
100,10599424,5565440
101,9796608,4847616
