,memory,diff_memory
0,175687680,171600384
1,121870336,114802688
2,99323904,93370368
3,82437120,76785664
4,76161024,70729216
5,69376512,64011264
6,63776768,58492928
7,62921216,57684992
8,58930688,53720064
9,60025856,54849024
10,53725696,48557056
11,53563392,48448512
12,50442752,45333504
13,51386368,46311424
14,50180608,45086720
15,47921152,42856448
16,46067200,41012224
17,45767680,40732672
18,45070336,40043008
19,44544512,39521792
20,44067328,39049216
21,42153984,37151232
22,42236928,37247488
23,42334208,37343744
24,41139712,36150272
25,40855552,35879936
26,39703040,34736640
27,39409152,34445824
28,38300672,33340928
29,37972480,33023488
30,37928960,32988672
31,37889536,32951296
32,37765120,32828416
33,37647872,32715264
34,36114944,31185920
35,35789312,30867968
36,35166720,30247936
37,35180544,30268416
38,34825728,29913088
39,34641920,29736960
40,34571264,29671424
41,33145856,28249088
42,32160768,27270144
43,21583360,16701952
44,28118528,23576064
45,19709952,13109248
46,16762880,11276288
47,14490112,9305600
48,13656576,8691712
49,12730368,7832064
50,12011008,7194112
51,11783680,7014400
52,11325440,6581760
53,11310080,6600192
54,10617344,5915648
55,10547200,5899264
56,10162176,5519872
57,10355200,5747200
58,10077184,5450240
59,9894400,5296640
60,9647616,5059584
61,9604608,5036544
62,9512960,4952576
63,9444352,4888576
64,9289216,4738048
65,9123840,4588032
66,9135616,4613120
67,9146880,4623360
68,8942592,4420096
69,8835584,4326912
70,8798208,4298752
71,8758272,4261888
72,8611328,4118528
73,8517632,4035584
74,8521216,4047872
75,8503296,4032000
76,8458752,3988992
77,8395776,3930112
78,8317952,3855872
79,8274944,3820544
80,8193024,3741184
81,8195584,3750400
82,8107520,3661824
83,8026112,3588096
84,8016896,3584000
85,7924224,3494400
86,7793664,3369984
87,6277632,1863168
