,memory,diff_memory
0,22767104,22203392
1,22623744,21307392
2,22477312,21164032
3,22533632,21224960
4,22481408,21172224
5,23031296,21724160
6,22236672,20908032
7,22497280,21200384
8,22249984,20942848
9,15643136,14345216
10,3037184,2004480
11,2961408,2144768
12,2906112,2092544
13,2956800,2147840
14,2937344,2127872
15,3064832,2257408
16,2894848,2065920
17,2963968,2166784
18,2895360,2087936
19,2263040,1464832
20,22767104,22203392
21,22623744,21307392
22,22477312,21164032
23,22533632,21224960
24,22481408,21172224
25,23031296,21724160
26,22236672,20908032
27,22497280,21200384
28,22249984,20942848
29,15643136,14345216
30,3037184,2004480
31,2961408,2144768
32,2906112,2092544
33,2956800,2147840
34,2937344,2127872
35,3064832,2257408
36,2894848,2065920
37,2963968,2166784
38,2895360,2087936
39,2263040,1464832
40,22767104,22203392
41,22623744,21307392
42,22477312,21164032
43,22533632,21224960
44,22481408,21172224
45,23031296,21724160
46,22236672,20908032
47,22497280,21200384
48,22249984,20942848
49,15643136,14345216
50,3037184,2004480
51,2961408,2144768
52,2906112,2092544
53,2956800,2147840
54,2937344,2127872
55,3064832,2257408
56,2894848,2065920
57,2963968,2166784
58,2895360,2087936
59,2263040,1464832
60,22767104,22203392
61,22623744,21307392
62,22477312,21164032
63,22533632,21224960
64,22481408,21172224
65,23031296,21724160
66,22236672,20908032
67,22497280,21200384
68,22249984,20942848
69,15643136,14345216
70,3037184,2004480
71,2961408,2144768
72,2906112,2092544
73,2956800,2147840
74,2937344,2127872
75,3064832,2257408
76,2894848,2065920
77,2963968,2166784
78,2895360,2087936
79,2263040,1464832
