,memory,diff_memory
0,153290752,96564224
1,156889600,96779264
2,147275776,87083520
3,137291264,77246464
4,141514240,81620480
5,158055936,98124800
6,138697216,78481920
7,146785792,86070784
8,148919296,88893440
9,167944192,107866112
10,175880704,115533824
11,199271424,137813504
12,267244032,206409728
13,255399424,192261120
14,260940800,199100928
15,302173184,239497728
16,294672384,231836672
17,295846912,233132544
18,295314432,232478720
19,277634048,214884864
20,288959488,226123776
21,275421696,212813824
22,307054080,244218368
23,288975360,226032128
24,262105088,199269376
25,311240192,249253888
26,332048384,268979712
27,296334336,232470528
28,308578304,244712448
29,330594816,267066368
30,331611648,268131328
31,256269824,192638464
32,372643328,310745088
33,337096192,272609280
34,263670272,199965184
35,257452032,195409408
36,344805888,282902528
37,286069760,222271488
38,290519552,227359232
39,417932800,355361792
40,300896768,235285504
41,265171968,202393088
42,332192256,269372416
43,370255872,306502144
44,285653504,220985344
45,240331776,177602560
46,379805696,318313984
47,310132224,245241344
48,288177152,224814080
49,213547520,150650368
50,449220096,388179968
51,281088512,214377984
52,268713984,206315520
53,358343680,296237568
54,316158976,251715072
55,331410432,268369408
56,221908992,158052864
57,402561024,341347840
58,331281408,265703936
59,257345024,193847808
60,240608768,178586112
61,399165440,337585152
62,305225728,239862784
63,296564736,233084928
64,318642688,254132224
65,366909952,303482880
66,288729088,224162304
67,259559424,196402176
68,361481728,299569664
69,335777280,271364096
70,291354624,227343360
71,261754368,199027712
72,409306624,347336192
73,317080576,251466240
74,293044224,229477888
75,247237632,184600576
76,387523584,325809664
77,337626112,272614400
78,283868160,219740160
79,268895232,205946368
80,392159232,329480704
81,321466368,256472576
82,289340416,225241088
83,328025600,265411072
84,311515136,247934976
85,289690624,225683456
86,333566464,270002688
87,160406528,96827904
88,133004288,73719808
89,138184704,76894720
90,130802688,69430784
91,123511808,62287360
92,124380160,63306752
93,138678272,77567488
94,123766272,62371328
95,130727424,69654016
96,131295744,70090240
97,146478080,85220352
98,152008704,90482176
99,172929024,111314944
100,234196480,172182528
101,222905856,159555584
102,228053504,165033984
103,268107776,205009408
104,260648960,196633600
105,263089152,199195136
106,262755840,197552128
107,245627904,180425216
108,256607744,191404032
109,242774528,178232832
110,273742336,208538624
111,257011712,192358400
112,228999168,163795456
113,277675520,214395392
114,298340864,233645568
115,263067136,198214656
116,274477056,209781760
117,296315904,231642112
118,300540416,235707904
119,222731264,157864960
120,338626560,275548672
121,302273536,236606976
122,232538112,167290368
123,225046528,161187840
124,313271296,250188288
125,251473920,186496000
126,257005568,193336320
127,387821568,322903040
128,266286592,198092288
129,233084416,168485888
130,303793664,240513536
131,335461888,270528512
132,252098560,186562560
133,206709248,141986816
134,352151552,289414656
135,275602944,209532416
136,253003776,188258304
137,185871872,120569344
138,429915136,367695360
139,246559232,178669056
140,234822656,171301888
141,332495872,269210112
142,281720320,216096768
143,300824576,236138496
144,191579136,126425600
145,375571456,313178624
146,297073152,230464000
147,223869440,158841856
148,210589696,147595776
149,373088256,310328320
150,270670848,204161536
151,261575168,196457472
152,291471360,226908672
153,331571200,266453504
154,253494784,188022272
155,227184640,162675200
156,332758528,269666816
157,298893312,233144832
158,257604096,192759296
159,227844096,163317760
160,383463936,320183808
161,281533952,214499328
162,259162112,194443776
163,215344640,150793216
164,359174144,296280576
165,304912896,238721536
166,251126272,186157056
167,237540864,173329920
168,360502272,297088000
169,285850112,218644480
170,256203776,191660032
171,297551872,233757696
172,276354560,211594752
173,255728128,191015936
174,301255168,237496832
175,140585984,75482624
