,memory,diff_memory
0,342947328,338668544
1,369011200,364174336
2,369597952,364729856
3,377790976,372896768
4,382269952,377387008
5,384664576,379770368
6,402386944,397480448
7,390926336,386002944
8,400400384,395496960
9,395884544,390964736
10,408473088,403558912
11,399614464,394682368
12,406344704,401431040
13,411822080,406891008
14,402098176,397157888
15,400216576,395295232
16,413187584,408268800
17,386347520,381421056
18,388628480,383740928
19,384323584,379428352
20,379870208,374978048
21,386362880,381481472
22,381940736,377052672
23,395731456,390851584
24,378490880,373580288
25,373175808,368295424
26,375608320,370742272
27,393409024,388529152
28,381027840,376126464
29,392005120,387114496
30,360238080,355331584
31,358407680,353553408
32,353892864,349035520
33,265342464,260488704
34,7834112,3158016
35,8129536,3534336
36,8202240,3575808
37,8241152,3588608
38,8304128,3662848
39,8357888,3705344
40,8550912,3886080
41,8400896,3719168
42,8525312,3863552
43,8474624,3796480
44,8622080,3949568
45,8499200,3808768
46,8596480,3924480
47,8671232,3981824
48,8542208,3843584
49,8520704,3841024
50,8647680,3970560
51,8323072,3638272
52,8363008,3717120
53,8314880,3661312
54,8254464,3603968
55,8320512,3680768
56,8266752,3620352
57,8463360,3825152
58,8242176,3573248
59,8155648,3516928
60,8216064,3591680
61,8419328,3781120
62,8290304,3630592
63,8421376,3772416
64,8017408,3352576
65,8017920,3405312
66,7967232,3351552
67,6992896,2380800
68,342947328,338668544
69,369011200,364174336
70,369597952,364729856
71,377790976,372896768
72,382269952,377387008
73,384664576,379770368
74,402386944,397480448
75,390926336,386002944
76,400400384,395496960
77,395884544,390964736
78,408473088,403558912
79,399614464,394682368
80,406344704,401431040
81,411822080,406891008
82,402098176,397157888
83,400216576,395295232
84,413187584,408268800
85,386347520,381421056
86,388628480,383740928
87,384323584,379428352
88,379870208,374978048
89,386362880,381481472
90,381940736,377052672
91,395731456,390851584
92,378490880,373580288
93,373175808,368295424
94,375608320,370742272
95,393409024,388529152
96,381027840,376126464
97,392005120,387114496
98,360238080,355331584
99,358407680,353553408
100,353892864,349035520
101,265342464,260488704
102,7834112,3158016
103,8129536,3534336
104,8202240,3575808
105,8241152,3588608
106,8304128,3662848
107,8357888,3705344
108,8550912,3886080
109,8400896,3719168
110,8525312,3863552
111,8474624,3796480
112,8622080,3949568
113,8499200,3808768
114,8596480,3924480
115,8671232,3981824
116,8542208,3843584
117,8520704,3841024
118,8647680,3970560
119,8323072,3638272
120,8363008,3717120
121,8314880,3661312
122,8254464,3603968
123,8320512,3680768
124,8266752,3620352
125,8463360,3825152
126,8242176,3573248
127,8155648,3516928
128,8216064,3591680
129,8419328,3781120
130,8290304,3630592
131,8421376,3772416
132,8017408,3352576
133,8017920,3405312
134,7967232,3351552
135,6992896,2380800
