,memory,diff_memory
0,125937152,121849856
1,90950656,85054976
2,74916352,69656064
3,66166272,61097984
4,60172288,55199232
5,53495296,48595968
6,44447232,39606784
7,49420288,44680704
8,44099072,39319552
9,41922560,37185024
10,40504832,35789824
11,37956096,33259520
12,37480960,32806400
13,35577856,30908928
14,37254656,32599552
15,34473472,29813760
16,34446336,29808128
17,32909824,28270592
18,34202112,29576704
19,34136576,29507584
20,31729664,27102208
21,29231104,24617472
22,31276032,26687488
23,29640704,25037824
24,29382656,24787968
25,28556800,23969792
26,31139328,26563072
27,28790272,24192000
28,29231616,24648704
29,28326400,23740928
30,28337152,23769600
31,28520448,23951872
32,26518016,21944320
33,26608128,22047232
34,26065408,21502976
35,26832384,22277120
36,26313728,21753856
37,25941504,21384704
38,25902592,21349376
39,25956352,21404672
40,25845248,21291520
41,25674752,21125632
42,25638912,21097472
43,24470016,19930112
44,25688064,21150208
45,24107520,19565056
46,25668096,21131776
47,24329728,19788800
48,23969792,19433472
49,23694336,19162112
50,23471616,18939904
51,23449088,18921472
52,23632384,19106304
53,23406592,18877952
54,23442432,18919936
55,23400448,18874880
56,23375872,18854400
57,22204416,17684480
58,22057472,17540608
59,22115328,17601536
60,22115840,17602048
61,22104064,17590784
62,21861888,17348608
63,22179328,17667584
64,21949440,17436160
65,21802496,17292288
66,21605888,17095680
67,21590528,17081344
68,21547008,17039360
69,21545472,17039872
70,21545984,17041920
71,21543424,17038848
72,21538816,17036288
73,21541888,17043456
74,21543424,17042432
75,21538816,17036288
76,21538304,17039872
77,20366848,15868928
78,20220416,15725568
79,20030464,15535616
80,20099072,15606784
81,20017664,15524352
82,19752448,15261696
83,19692032,15201792
84,19339264,14850560
85,18902528,14416384
86,18730496,14247424
87,6586368,2105344
88,20382208,16233472
89,15508480,9846272
90,13476864,8450048
91,12315136,7480320
92,11460608,6721024
93,10631168,5965312
94,9424896,4817920
95,9996800,5490688
96,9380352,4834304
97,9091072,4587008
98,8869376,4387840
99,8564224,4101120
100,8438272,3997184
101,8251904,3816448
102,8373248,3951616
103,8081408,3655168
104,8032768,3628032
105,7896576,3490816
106,7984128,3592192
107,7941632,3546112
108,7739904,3345920
109,7409152,3028992
110,7618560,3263488
111,7464960,3095552
112,7427584,3066368
113,7243776,2890240
114,7558656,3215872
115,7343616,2978816
116,7406592,3057152
117,7161856,2809856
118,7159808,2825728
119,7250944,2915840
120,7049216,2708992
121,7062016,2734592
122,6987776,2658816
123,7087616,2765824
124,7020544,2694144
125,6968320,2644992
126,6939136,2619392
127,6964224,2646016
128,6920704,2600448
129,6817792,2502144
130,6792704,2484736
131,6776320,2469888
132,6837760,2533376
133,6729216,2420224
134,6830592,2527744
135,6756864,2449408
136,6708736,2405888
137,6674944,2376192
138,6623744,2325504
139,6626816,2332672
140,6664192,2371584
141,6556160,2260992
142,6612992,2323968
143,6556160,2264064
144,6539264,2251264
145,6476288,2189824
146,6455808,2172416
147,6463488,2183168
148,6463488,2183168
149,6461952,2182144
150,6429696,2149888
151,6471168,2192896
152,6440448,2160640
153,6421504,2144768
154,6395904,2119168
155,6393344,2117632
156,6355456,2081280
157,6340608,2068480
158,6347264,2076672
159,6312960,2041856
160,6282240,2013184
161,6290432,2025472
162,6334976,2067456
163,6259712,1990656
164,6259200,1994240
165,6231040,1966592
166,6212096,1950720
167,6186496,1925120
168,6196224,1937408
169,6183424,1923584
170,6150144,1892864
171,6141952,1885184
172,6095360,1840128
173,6038528,1785856
174,6014976,1765376
175,4415488,167936
