,memory,diff_memory
0,58226176,57662464
1,58049536,54495232
2,31047680,27500544
3,6797824,5030912
4,6773248,5217792
5,3949568,2401280
6,58226176,57662464
7,58049536,54495232
8,31047680,27500544
9,6797824,5030912
10,6773248,5217792
11,3949568,2401280
12,58226176,57662464
13,58049536,54495232
14,31047680,27500544
15,6797824,5030912
16,6773248,5217792
17,3949568,2401280
18,58226176,57662464
19,58049536,54495232
20,31047680,27500544
21,6797824,5030912
22,6773248,5217792
23,3949568,2401280
24,58226176,57662464
25,58049536,54495232
26,31047680,27500544
27,6797824,5030912
28,6773248,5217792
29,3949568,2401280
30,58226176,57662464
31,58049536,54495232
32,31047680,27500544
33,6797824,5030912
34,6773248,5217792
35,3949568,2401280
36,58226176,57662464
37,58049536,54495232
38,31047680,27500544
39,6797824,5030912
40,6773248,5217792
41,3949568,2401280
42,58226176,57662464
43,58049536,54495232
44,31047680,27500544
45,6797824,5030912
46,6773248,5217792
47,3949568,2401280
48,58226176,57662464
49,58049536,54495232
50,31047680,27500544
51,6797824,5030912
52,6773248,5217792
53,3949568,2401280
54,58226176,57662464
55,58049536,54495232
56,31047680,27500544
57,6797824,5030912
58,6773248,5217792
59,3949568,2401280
60,58226176,57662464
61,58049536,54495232
62,31047680,27500544
63,6797824,5030912
64,6773248,5217792
65,3949568,2401280
66,58226176,57662464
67,58049536,54495232
68,31047680,27500544
69,6797824,5030912
70,6773248,5217792
71,3949568,2401280
72,58226176,57662464
73,58049536,54495232
74,31047680,27500544
75,6797824,5030912
76,6773248,5217792
77,3949568,2401280
78,58226176,57662464
79,58049536,54495232
80,31047680,27500544
81,6797824,5030912
82,6773248,5217792
83,3949568,2401280
