,memory,diff_memory
0,94232064,37505536
1,83918336,26184192
2,79269888,21678080
3,71852544,14320640
4,78559232,21126144
5,91571200,34051584
6,85533184,27829760
7,80035328,22426624
8,76500480,18958336
9,72789504,15296000
10,90617344,33172992
11,85212672,27521536
12,82010624,24414208
13,73844224,16281600
14,72223232,14764032
15,85770240,28332544
16,85390848,27774976
17,83411456,25808896
18,74645504,17058304
19,73512960,16044544
20,88998912,31545344
21,85548544,27895296
22,86477312,28867584
23,78226432,20602368
24,72342016,14832128
25,81497600,24058368
26,82836480,25289728
27,78362624,20786688
28,78614016,21100544
29,83065856,25546240
30,79864320,22283776
31,82220032,24681984
32,80300544,22732288
33,82193408,24649216
34,85292544,27723776
35,81449984,23849472
36,85725184,28179968
37,86946816,29334016
38,85610496,27977728
39,89925120,32315392
40,80349696,22676480
41,81911808,24369152
42,96524800,38965248
43,96624128,38871040
44,94714368,36955136
45,98114560,40381440
46,94852608,37073920
47,97430528,39694336
48,93793792,36025856
49,96353792,38620672
50,140780544,83028992
51,139553280,81124864
52,120090624,61672960
53,97636864,39550464
54,118554624,60778496
55,119351808,61289984
56,127243776,69148160
57,100081152,41867776
58,112247808,54447104
59,120370176,62385152
60,126944768,68844544
61,114724352,56517120
62,137547776,79545856
63,140375040,82020352
64,123907584,65455616
65,126222336,68060672
66,127356416,69121024
67,129752064,71532544
68,132523520,74244096
69,123043328,64748032
70,132533760,74391040
71,126711808,68415488
72,127596544,69398016
73,127448576,69218304
74,111004672,52785152
75,144273408,86319616
76,128383488,69856256
77,126781952,68549632
78,116310016,58113024
79,112301568,54250496
80,123408896,65403904
81,129715200,71557120
82,117731328,59456512
83,131100160,73021440
84,115795456,57517568
85,127224320,69182464
86,119155712,60940288
87,119093760,61011968
88,145235968,87154688
89,131053568,72534528
90,118896640,60620288
91,130572288,72498688
92,132559872,74303488
93,113530368,55232000
94,130997760,72988160
95,125334528,67059200
96,119543808,61342208
97,130208768,72115200
98,123568128,65327104
99,90041344,31877120
100,137166848,79497216
101,116183552,57776640
102,141098496,83055616
103,134748160,76291584
104,142056448,83713536
105,149150208,90664448
106,127624192,69050880
107,140860928,82647040
108,137762816,79315456
109,143707648,85337600
110,108594688,50093568
111,121139712,63213056
112,132652032,74512384
113,96073728,37790720
114,161797632,104057344
115,137330688,78548992
116,132959232,74579968
117,149573120,91256320
118,138348032,79790592
119,137519616,79097344
120,144312832,85947392
121,132478976,73957888
122,146614784,88323072
123,139633664,81091072
124,120131584,61724160
125,143557120,85431296
126,105098752,46611456
127,83552768,25671168
128,170758656,113174528
129,151861760,92861440
130,149318144,90692608
131,143844864,85302784
132,144927744,86428160
133,149175808,90656256
134,149182976,90634240
135,125007872,66449920
136,114684928,56514048
137,124670464,66667008
138,128954880,70755328
139,99705344,41472000
140,91013632,33226752
141,73216000,15534080
142,149072896,91623936
143,139706368,81142784
144,149402112,91011584
145,134861312,76263424
146,156272640,97956352
147,138157056,79496704
148,137949696,79544320
149,134621184,76240384
150,123184128,64822784
151,98263552,40116224
152,137018880,79237120
153,133426176,75063808
154,108351488,50042368
155,124481024,66571264
156,191254016,133083648
157,182626816,123147776
158,151755264,92622848
159,151528448,92903424
160,143522816,84966400
161,128728064,70243840
162,127730176,69475328
163,114685440,56465408
164,113144832,55143424
165,120003072,62007296
166,111069696,52964864
167,124190208,66236416
168,103564800,45380096
169,97461760,39616512
170,137453568,79684096
171,211129344,152693248
172,182836736,122953216
173,149611008,90420224
174,137658368,79103488
175,142307840,83955712
176,137845248,79405568
177,132423168,74041856
178,119703552,61416448
179,104820736,46719488
180,100077056,42208768
181,120980480,63181312
182,103315968,45199360
183,108673536,50838016
184,108352512,50429440
185,165635584,107724800
186,190875136,131911680
187,161062912,101637632
188,155420160,96647680
189,127711744,69030912
190,126337024,68126720
191,118892544,60712448
192,116254720,58179584
193,125668352,67639296
194,140910592,82707456
195,111470592,53001728
196,127328768,69369856
197,105677312,47457792
198,88941056,31055872
199,75133952,17488896
200,237204992,179732992
201,185030656,124528640
202,162833408,103524864
203,130405376,71569408
204,118883840,60639232
205,123293184,65223680
206,120183808,62029824
207,125361152,67262464
208,119083008,60882944
209,129630720,71548928
210,123720192,65454592
211,97562112,39388160
212,108387328,50621952
213,108352512,50412032
214,162967040,105056256
215,210677248,151749632
216,151553536,91707392
217,142596096,84037120
218,124418560,65969664
219,116992000,58824192
220,143104512,85058048
221,156133888,97660416
222,137857024,79116288
223,123523584,65149952
224,105309184,47153664
225,103373312,45497856
226,108718592,50879488
227,96141312,38204416
228,124217856,66475520
229,185020416,126824960
230,180059136,120719360
231,169281536,110144512
232,129245184,70039552
233,126918656,68666368
234,152840704,94637568
235,149017088,90339328
236,112163840,53618688
237,115529728,57562112
238,112745984,54723072
239,115185152,57197056
240,123346944,65330176
241,104323072,46163456
242,108340736,50475520
