,gcn,ggnn,gat,gaan
0,15.470857,20.774013,63.534889,585.145731
1,16.137004,20.904081,63.791089,588.309278
2,17.143535,20.98465,63.931427,588.477006
3,17.181355,21.015814,64.028251,588.793396
4,17.204809,21.057187,64.05564,589.662017
5,17.228615,21.103231,64.167822,589.753978
6,17.264388,21.14281,64.285635,589.869934
7,17.306528,21.23509,64.324863,589.928203
8,17.323422,21.321386,64.374682,590.186544
9,17.352507,21.405731,64.410552,591.124762
10,17.359547,21.45379,64.479793,591.296265
11,17.37337,21.526615,64.538828,591.45507
12,17.395479,21.552724,64.543083,591.689126
13,17.419637,21.631405,64.544427,591.832248
14,17.431828,21.749283,64.545035,591.833688
15,17.447059,21.767232,64.559305,592.264561
16,17.48312,21.790559,64.560138,592.698697
17,17.555881,21.840954,64.571433,592.988909
18,17.597445,21.917043,64.640418,593.239119
19,18.009215,21.962031,64.673407,593.824928
20,18.052795,21.965551,64.771606,594.203549
21,18.158354,22.197337,64.810546,594.213821
22,18.350687,22.210167,64.896139,594.538623
23,18.358751,22.226999,64.931559,594.578427
24,18.360127,22.322734,65.012575,594.589657
25,18.413081,22.402247,65.040925,594.793895
26,18.465205,22.491998,65.071322,595.054893
27,18.786167,22.49747,65.089528,595.211713
28,18.832083,22.595892,65.142451,595.460682
29,18.846065,22.615411,65.156658,595.737008
30,18.916971,22.881658,65.253705,595.960539
31,19.155061,23.698958,65.496659,596.053362
32,19.176883,23.997555,65.583978,596.057363
33,19.235086,24.202655,65.610952,596.202277
34,19.79449,24.334963,65.643557,596.503785
35,19.954443,24.548159,65.705087,597.379446
36,19.954795,24.780266,65.708351,597.416242
37,21.72596,24.891168,65.771417,597.593733
38,23.273656,24.905598,65.841363,597.593826
39,23.432586,24.958137,66.083644,597.649629
40,23.474438,25.072495,66.142839,598.453717
41,23.487237,25.086158,66.148311,598.80594
42,23.498275,26.242499,66.19429,598.975618
43,23.507747,26.311196,66.260876,599.409466
44,23.524481,27.243878,66.580463,599.497714
45,23.539871,28.19307,67.434752,600.105722
46,23.576956,33.306517,70.102632,601.025989
47,23.647414,33.341137,79.579804,601.503928
48,23.702353,33.347025,95.468573,626.037131
49,24.110667,33.621432,99.000055,657.825452
