,gcn,ggnn,gat,gaan
0,10.913451,12.176855,34.434691,286.723239
1,11.017985,13.584788,35.94735,286.941267
2,11.034368,13.733127,37.101226,287.324126
3,11.049023,14.021099,37.475496,287.343868
4,11.056158,14.420071,38.71119,287.384361
5,11.063901,14.483873,38.869159,287.487616
6,11.066812,14.519742,38.890405,287.607732
7,11.107801,14.565465,39.020408,287.679901
8,11.343523,14.733482,39.322493,287.941701
9,11.380704,14.877468,39.472655,288.055339
10,11.432955,14.913913,40.945798,288.314867
11,11.434139,15.124774,40.966883,288.36891
12,11.510867,15.181472,41.188496,288.691088
13,11.522994,15.227036,42.029026,288.718845
14,11.636808,15.294294,42.170484,288.899357
15,11.833494,15.481668,42.189619,288.994516
16,11.864626,15.545343,42.312103,289.05579
17,12.089502,15.673395,42.36845,289.094282
18,12.125371,15.731117,42.390463,289.104825
19,12.186549,15.769194,42.487318,289.123336
20,12.198708,15.963127,42.524755,289.494117
21,12.396194,15.998324,42.579662,289.61321
22,12.418719,16.125929,42.586254,289.971833
23,12.449565,16.231807,42.653351,289.982072
24,12.45254,16.316215,42.661062,290.064881
25,12.483609,16.56192,42.703523,290.125739
26,12.492632,16.645849,43.166264,290.150665
27,12.497623,16.96457,43.17935,290.167062
28,12.51247,16.97529,43.192054,290.324295
29,12.528885,17.347287,43.221266,290.424319
30,12.541908,18.033496,43.288012,290.552291
31,12.546259,18.137198,43.310602,290.807916
32,12.87666,18.383383,43.333641,290.86615
33,13.20447,18.808368,43.349286,291.140365
34,13.4831,18.847533,43.370789,291.155467
35,13.717318,18.983136,43.386371,291.325499
36,13.900918,19.059672,43.400386,291.421811
37,13.91746,19.180206,43.420928,291.465743
38,14.044488,19.234984,43.46134,291.536904
39,14.085221,19.43519,43.520887,291.56055
40,14.103458,19.905738,44.488221,291.797104
41,14.108066,20.16453,44.78589,291.892903
42,14.120417,20.427258,45.825089,291.926084
43,14.152831,20.621608,46.751275,291.990622
44,14.158942,20.674755,47.328438,292.269892
45,14.160733,20.935627,49.140717,292.44146
46,14.17046,21.045632,50.648609,293.122069
47,14.187323,21.545778,51.54379,295.824763
48,15.62047,21.843094,52.649383,325.218193
49,20.680832,23.096707,53.866742,353.356068
