,gcn,ggnn,gat
0,49.039306,59.895902,106.547169
1,49.272884,60.351988,106.785964
2,49.288659,60.431213,106.900097
3,49.298322,60.494918,106.908929
4,49.570233,60.556672,106.949245
5,49.651089,60.558881,107.086351
6,49.694029,60.576959,107.205989
7,49.708012,60.607228,107.288125
8,49.758408,60.626139,107.471308
9,49.798532,60.649368,107.608448
10,50.025199,60.654744,107.717845
11,50.061484,60.663831,107.777903
12,50.075947,60.667575,107.785071
13,50.115783,60.75179,107.79739
14,50.139876,60.779692,107.811756
15,50.166306,60.794635,107.831179
16,50.186816,60.795819,107.865128
17,50.189663,60.821161,107.890661
18,50.189791,60.858981,107.929986
19,50.206366,60.884386,107.937057
20,50.227292,60.902241,107.943041
21,50.265241,60.936062,107.961919
22,50.27276,60.988057,107.967966
23,50.294614,61.050515,108.119728
24,50.294741,61.074385,108.125136
25,50.30802,61.093519,108.202889
26,50.390349,61.104366,108.210184
27,50.441,61.120141,108.299935
28,50.458631,61.133227,108.346779
29,50.486309,61.158537,108.448114
30,50.486884,61.219876,108.896712
31,50.489636,61.257056,108.932325
32,50.51821,61.28195,109.056218
33,50.523457,61.306971,109.0654
34,50.531936,61.320346,109.488241
35,50.545278,61.341208,109.503568
36,50.547166,61.37087,109.585224
37,50.571965,61.439503,109.605063
38,50.600826,61.441871,109.782455
39,50.640246,61.465357,109.862447
40,50.671827,61.577378,109.921961
41,50.679634,61.616063,110.095289
42,50.713359,61.666426,110.256875
43,50.729805,61.726613,110.517043
44,51.18522,61.955263,110.585932
45,51.883779,61.962655,111.095325
46,53.127184,62.254116,111.856695
47,56.00935,65.984075,115.416077
48,65.614989,76.762598,118.699198
49,66.435329,85.18374,131.36513
