,gcn,ggnn,gat,gaan
0,15.62513,33.343634,42.262432,250.33345
1,15.629865,33.448616,42.264768,250.861433
2,15.636649,33.499908,42.3047,250.929011
3,15.643528,33.500036,42.317659,250.964432
4,15.649064,33.500516,42.320411,251.148896
5,15.653991,33.509379,42.333306,251.203579
6,15.655591,33.52077,42.338809,251.405992
7,15.661319,33.529313,42.341465,251.408199
8,15.665126,33.55683,42.382741,251.476034
9,15.670501,33.648342,42.396116,251.653649
10,15.670917,33.657653,42.409139,251.872125
11,15.672005,33.678291,42.413075,252.258457
12,15.678309,33.681555,42.43704,252.710704
13,15.681573,33.69333,42.44696,252.744621
14,15.682884,33.704177,42.448463,252.812039
15,15.68298,33.775242,42.45339,253.047249
16,15.683076,33.783274,42.454511,253.136521
17,15.691908,33.805128,42.457294,253.365684
18,15.693827,33.810183,42.463149,253.379283
19,15.709442,33.828038,42.480333,253.412304
20,15.710946,33.844068,42.493387,253.483338
21,15.712513,33.865026,42.523816,253.533125
22,15.716545,33.865091,42.568356,253.680343
23,15.717217,33.873762,42.589026,253.750545
24,15.717217,33.886336,42.591202,253.82817
25,15.738527,33.925117,42.596833,254.157579
26,15.760317,33.937884,42.60784,254.321213
27,15.762525,33.964185,42.615744,254.406197
28,15.764189,33.968345,42.622463,254.469806
29,15.772956,33.977785,42.631422,254.516235
30,15.786362,34.04053,42.63539,254.794993
31,15.79449,34.055985,42.664763,254.797553
32,15.797178,34.152456,42.668091,254.904872
33,15.916399,34.297147,42.747956,255.002686
34,16.689128,34.319833,42.7868,255.003646
35,17.803426,34.335096,42.826156,255.056633
36,17.822688,34.344247,42.829132,255.863248
37,17.827296,34.348886,42.964672,256.153045
38,17.832031,34.363125,43.002621,256.34442
39,17.837919,34.386387,43.065142,256.365121
40,17.84835,34.406833,43.167438,256.469176
41,17.863933,34.410001,43.177068,256.478871
42,17.869372,34.41656,43.199914,256.543345
43,17.903321,34.734867,43.270596,256.688003
44,17.915704,34.922082,44.601706,257.125052
45,18.366126,36.259495,49.081744,257.141498
46,20.029494,46.884954,49.977981,257.215636
47,20.046677,46.889337,50.014585,257.805949
48,20.050548,46.904792,50.263651,279.259552
49,20.071891,46.910808,56.504552,303.40878
