,gcn,ggnn,gat,gaan
0,11.66741,17.829694,31.261199,326.098719
1,11.669042,17.850363,31.30113,327.261109
2,11.671634,17.863963,31.311849,329.870401
3,11.673074,17.889848,31.321257,329.919419
4,11.685745,17.890232,31.340647,329.991066
5,11.690896,17.896152,31.354661,330.055535
6,11.691248,17.921846,31.362565,330.531785
7,11.697424,17.931572,31.36394,330.547432
8,11.699696,17.934709,31.369573,330.870729
9,11.713838,17.95189,31.373892,330.994814
10,11.723053,17.95669,31.402881,331.065112
11,11.723438,17.956914,31.419071,331.076887
12,11.726701,17.969777,31.425695,331.405209
13,11.727245,17.972784,31.432862,331.48805
14,11.763625,17.974544,31.443133,331.53998
15,11.764553,17.975089,31.449181,331.967877
16,11.789927,17.977936,31.455836,332.115608
17,11.791335,17.987344,31.461724,332.165395
18,11.795335,18.005805,31.467483,332.332355
19,11.799654,18.021132,31.480891,333.422784
20,11.808358,18.034443,31.485594,333.487482
21,11.808486,18.036874,31.524118,333.530518
22,11.809574,18.04017,31.535445,333.640428
23,11.809926,18.059337,31.540756,334.051302
24,11.811717,18.063208,31.552115,334.329676
25,11.813094,18.0706,31.560531,334.506461
26,11.816997,18.07863,31.569298,335.026573
27,11.831748,18.079718,31.601296,335.072904
28,11.878592,18.093253,31.611822,335.999662
29,11.999669,18.111172,31.618286,336.050159
30,12.199042,18.119171,31.655434,336.075149
31,14.287106,18.143361,31.656298,336.180739
32,14.296002,18.148545,31.689063,336.673974
33,14.299937,18.165599,31.719877,336.692596
34,14.300673,18.176798,31.737602,336.936537
35,14.304449,18.188476,31.752993,337.008823
36,14.305569,19.961435,31.775775,337.22211
37,14.325887,19.96889,31.892276,337.244578
38,14.327102,19.998391,31.907347,337.627134
39,14.330494,20.045843,32.037224,337.730101
40,14.350812,20.048242,32.183897,337.862249
41,14.381466,20.050738,32.205176,337.899078
42,14.390169,20.064145,32.274193,338.062647
43,14.400376,20.080559,32.353611,338.327998
44,14.633954,20.083215,32.642576,338.839119
45,16.284715,20.099438,42.344758,339.018783
46,16.300842,25.568985,42.60563,339.204206
47,16.329383,25.728714,42.611742,341.410116
48,16.33927,25.790948,42.616509,365.714442
49,16.396385,25.80125,42.652154,378.296335
