,gcn,ggnn,gat,gaan
0,11.244431,13.287186,26.147626,121.36303
1,11.44582,13.298352,28.158703,121.563524
2,11.551826,13.675758,29.320451,121.706614
3,11.562642,13.749798,31.702055,121.740723
4,11.578544,13.785059,31.719366,121.795725
5,11.650186,13.849245,31.751715,122.374265
6,11.695014,13.872699,32.020458,122.823982
7,11.740866,13.902137,32.262451,123.039898
8,11.748032,13.908728,32.841214,123.042842
9,11.763391,13.931317,33.295796,123.201868
10,11.869845,13.948788,33.370701,123.321185
11,11.894323,14.015982,33.729068,123.39161
12,12.131741,14.057226,35.820906,123.434486
13,12.133277,14.180863,36.379637,123.440021
14,12.207702,14.975605,37.078453,123.451349
15,12.262034,15.444714,37.363995,123.484114
16,12.413028,15.807496,37.528139,123.760248
17,12.463774,15.824134,37.535819,123.769847
18,12.495324,15.963545,37.610979,123.791925
19,12.631343,15.989047,37.853389,123.85336
20,12.706952,15.989752,37.923527,124.046717
21,12.726758,15.990199,37.939781,124.080379
22,12.755043,16.055857,38.073209,124.129302
23,12.786337,16.102253,38.084184,124.271401
24,12.847611,16.246111,38.089016,124.28228
25,12.927572,16.259486,38.094359,124.359233
26,12.950802,16.458315,38.179983,124.368415
27,13.012683,16.766928,38.221196,124.511314
28,13.12205,16.785165,38.286373,124.569326
29,13.430085,16.7931,38.345408,124.591723
30,13.534107,17.072371,38.712317,124.828789
31,13.610452,17.782065,38.850481,124.839476
32,13.834272,18.174637,38.981797,124.917133
33,13.85539,18.605828,39.058301,125.321448
34,13.921623,19.202126,39.207919,125.558865
35,14.093928,19.603529,39.621129,125.613901
36,14.128068,19.729085,39.65559,125.626635
37,14.270967,19.747995,39.77865,125.83884
38,14.387725,19.78028,39.965162,126.040357
39,14.685105,19.954024,40.079807,126.063267
40,14.732716,20.324134,40.090782,126.079201
41,14.84845,20.387264,40.141369,126.165689
42,15.020785,20.728192,40.161943,126.202102
43,15.247676,20.803034,40.419775,126.24101
44,15.329238,21.177047,41.025735,126.879479
45,15.462889,21.685032,41.092802,127.780163
46,15.475559,22.513563,41.117375,131.674651
47,16.785519,22.67646,42.919864,133.51864
48,17.41282,23.942806,43.908476,148.05419
49,26.778993,24.411691,44.295193,174.331211
